연/월,"""2번남""_빈도수",연/월,"""G.O.A.T""_빈도수",연/월,"""h워얼v""_빈도수",연/월,"""가심비""_빈도수",연/월,"""갸루피스""_빈도수",연/월,"""관짝밈""_빈도수",연/월,"""국룰""_빈도수",연/월,"""국힙원탑""_빈도수",연/월,"""귀요미""_빈도수",연/월,"""기모띠""_빈도수",연/월,"""꿀잼""_빈도수",연/월,"""나비보벳따우""_빈도수",연/월,"""나심비""_빈도수",연/월,"""낮져밤이""_빈도수",연/월,"""너또다""_빈도수",연/월,"""당모치""_빈도수",연/월,"""대환장파티""_빈도수",연/월,"""덕밍아웃""_빈도수",연/월,"""등골 브레이커""_빈도수",연/월,"""떼껄룩""_빈도수",연/월,"""똥꼬충""_빈도수",연/월,"""라떼는 말이야""_빈도수",연/월,"""레알""_빈도수",연/월,"""맘충""_빈도수",연/월,"""머선129""_빈도수",연/월,"""명존쎄""_빈도수",연/월,"""모히또에서 몰디브""_빈도수",연/월,"""몰?루""_빈도수",연/월,"""무야호""_빈도수",연/월,"""박박나나짜짜""_빈도수",연/월,"""복세편살""_빈도수",연/월,"""설참""_빈도수",연/월,"""쉽살재빙""_빈도수",연/월,"""실화냐""_빈도수",연/월,"""씹선비""_빈도수",연/월,"""오저치고""_빈도수",연/월,"""오팬무""_빈도수",연/월,"""제당슈만""_빈도수",연/월,"""존버""_빈도수",연/월,"""취존""_빈도수",연/월,"""킹받""_빈도수",연/월,"""탈룰라""_빈도수",연/월,"""투머치토커""_빈도수",연/월,"""티엠아이""_빈도수",연/월,"""하입보이요""_빈도수",연/월,"""합격목걸이""_빈도수",연/월,"""햄최몇""_빈도수",연/월,"""행복회로""_빈도수",연/월,"""행쇼""_빈도수",연/월,"""헬창""_빈도수"
Dec-20,0,Sep-03,0,Dec-20,0,Jul-16,0,Nov-21,0,Mar-20,0,Jan-12,0,Dec-17,0,Feb-07,0,Jan-13,0,Jun-10,0,Nov-19,0,Dec-17,0,Jun-12,0,Dec-19,0,Jun-20,0,Mar-16,0,Apr-12,0,Mar-11,0,Jun-14,0,Aug-15,0,Apr-18,0,Aug-02,0,Oct-14,0,Aug-19,0,Oct-13,0,Oct-15,0,Feb-21,0,Dec-18,0,Apr-21,0,Mar-14,0,Nov-15,0,Jul-20,0,Aug-12,0,Jul-11,0,Feb-19,0,Apr-18,0,Nov-20,0,Sep-10,0,Apr-10,0,Nov-19,0,Nov-11,0,May-16,0,Feb-17,0,Jul-22,0,Mar-17,0,Nov-14,0,Aug-15,0,Nov-06,0,Jul-14,0
Jan-21,1,Oct-03,8,Jan-21,9,Aug-16,1,Dec-21,2,Apr-20,102,Feb-12,9,Jan-18,3,Mar-07,3,Feb-13,1,Jul-10,2,Dec-19,1,Jan-18,30,Jul-12,2,Jan-20,1,Jul-20,7,Apr-16,2,May-12,1,Apr-11,1,Jul-14,2,Sep-15,9,May-18,1,Sep-02,5,Nov-14,6,Sep-19,1,Nov-13,4,Nov-15,121,Mar-21,2,Jan-19,2,May-21,1,Apr-14,6,Dec-15,3,Aug-20,6,Sep-12,1,Aug-11,1,Mar-19,1,May-18,1,Dec-20,12,Oct-10,3,May-10,13,Dec-19,4,Dec-11,12,Jun-16,1,Mar-17,5,Aug-22,2,Apr-17,4,Dec-14,1,Sep-15,1,Dec-06,1,Aug-14,2
Feb-21,4,Nov-03,3,Feb-21,6,Sep-16,4,Jan-22,62,May-20,150,Mar-12,28,Feb-18,4,Apr-07,1,Mar-13,7,Aug-10,1,Jan-20,3,Feb-18,14,Aug-12,1,Feb-20,1,Aug-20,2,May-16,1,Jun-12,1,May-11,1,Aug-14,1,Oct-15,25,Jun-18,3,Oct-02,6,Dec-14,1,Oct-19,2,Dec-13,3,Dec-15,150,Apr-21,9,Feb-19,2,Jun-21,19,May-14,5,Jan-16,3,Sep-20,4,Oct-12,2,Sep-11,2,Apr-19,5,Jun-18,1,Jan-21,6,Nov-10,2,Jun-10,6,Jan-20,1,Jan-12,2,Jul-16,5,Apr-17,6,Sep-22,2,May-17,1,Jan-15,3,Oct-15,1,Jan-07,3,Sep-14,13
Mar-21,1,Dec-03,13,Mar-21,10,Oct-16,2,Feb-22,86,Jun-20,120,Apr-12,5,Mar-18,2,May-07,1,Apr-13,2,Sep-10,2,Feb-20,78,Mar-18,9,Sep-12,15,Mar-20,1,Sep-20,11,Jun-16,1,Jul-12,1,Jun-11,5,Sep-14,5,Nov-15,16,Jul-18,7,Nov-02,5,Jan-15,3,Nov-19,2,Jan-14,17,Jan-16,149,May-21,29,Mar-19,2,Jul-21,8,Jun-14,1,Feb-16,4,Oct-20,5,Nov-12,2,Oct-11,2,May-19,27,Jul-18,3,Feb-21,8,Dec-10,5,Jul-10,11,Feb-20,1,Feb-12,6,Aug-16,8,May-17,5,Oct-22,6,Jun-17,7,Feb-15,5,Nov-15,1,Feb-07,6,Oct-14,14
Apr-21,4,Jan-04,10,Apr-21,5,Nov-16,2,Mar-22,108,Jul-20,104,May-12,10,Apr-18,3,Jun-07,3,May-13,4,Oct-10,3,Mar-20,150,Apr-18,12,Oct-12,15,Apr-20,6,Oct-20,8,Jul-16,6,Aug-12,4,Jul-11,12,Oct-14,9,Dec-15,34,Aug-18,4,Dec-02,4,Feb-15,2,Dec-19,1,Feb-14,57,Feb-16,146,Jun-21,52,Apr-19,1,Aug-21,30,Jul-14,56,Mar-16,30,Nov-20,14,Dec-12,5,Nov-11,2,Jun-19,18,Aug-18,5,Mar-21,23,Jan-11,3,Aug-10,18,Mar-20,4,Mar-12,5,Sep-16,14,Jun-17,3,Nov-22,51,Jul-17,33,Mar-15,14,Dec-15,2,Mar-07,7,Nov-14,16
May-21,2,Feb-04,10,May-21,15,Dec-16,1,Apr-22,150,Aug-20,150,Jun-12,12,May-18,1,Jul-07,3,Jun-13,5,Nov-10,2,Apr-20,150,May-18,8,Nov-12,15,May-20,1,Nov-20,43,Aug-16,25,Sep-12,2,Aug-11,3,Nov-14,3,Jan-16,38,Sep-18,3,Jan-03,5,Mar-15,3,Jan-20,2,Mar-14,34,Mar-16,136,Jul-21,61,May-19,3,Sep-21,30,Aug-14,39,Apr-16,5,Dec-20,15,Jan-13,10,Dec-11,4,Jul-19,23,Sep-18,1,Apr-21,30,Feb-11,3,Sep-10,4,Apr-20,3,Apr-12,4,Oct-16,22,Jul-17,4,Dec-22,122,Aug-17,4,Apr-15,9,Jan-16,3,Apr-07,9,Dec-14,39
Jun-21,3,Mar-04,13,Jun-21,7,Jan-17,1,May-22,150,Sep-20,41,Jul-12,7,Jun-18,3,Aug-07,2,Jul-13,7,Dec-10,4,May-20,150,Jun-18,8,Dec-12,13,Jun-20,4,Dec-20,19,Sep-16,42,Oct-12,2,Sep-11,4,Dec-14,2,Feb-16,21,Oct-18,7,Feb-03,2,Apr-15,2,Feb-20,12,Apr-14,41,Apr-16,123,Aug-21,73,Jun-19,4,Oct-21,23,Sep-14,68,May-16,5,Jan-21,39,Feb-13,5,Jan-12,2,Aug-19,22,Oct-18,9,May-21,7,Mar-11,2,Oct-10,22,May-20,1,May-12,11,Nov-16,17,Aug-17,1,Jan-23,150,Sep-17,12,May-15,7,Feb-16,4,May-07,3,Jan-15,65
Jul-21,1,Apr-04,46,Jul-21,7,Feb-17,1,Jun-22,150,Oct-20,60,Aug-12,22,Jul-18,2,Sep-07,2,Aug-13,3,Jan-11,4,Jun-20,150,Jul-18,30,Jan-13,5,Jul-20,8,Jan-21,31,Oct-16,55,Nov-12,1,Oct-11,10,Jan-15,7,Mar-16,14,Nov-18,4,Mar-03,2,May-15,3,Mar-20,27,May-14,37,May-16,122,Sep-21,83,Jul-19,3,Nov-21,17,Oct-14,71,Jun-16,2,Feb-21,32,Mar-13,3,Feb-12,6,Sep-19,11,Nov-18,7,Jun-21,5,Apr-11,3,Nov-10,12,Jun-20,10,Jun-12,17,Dec-16,10,Sep-17,5,Feb-23,150,Oct-17,1,Jun-15,11,Mar-16,4,Jun-07,4,Feb-15,107
Aug-21,2,May-04,26,Aug-21,5,Mar-17,2,Jul-22,150,Nov-20,32,Sep-12,14,Aug-18,5,Oct-07,5,Sep-13,9,Feb-11,3,Jul-20,150,Aug-18,24,Feb-13,8,Aug-20,11,Feb-21,48,Nov-16,47,Dec-12,2,Nov-11,22,Feb-15,3,Apr-16,10,Dec-18,9,Apr-03,5,Jun-15,2,Apr-20,45,Jun-14,59,Jun-16,119,Oct-21,150,Aug-19,5,Dec-21,20,Nov-14,75,Jul-16,7,Mar-21,20,Apr-13,2,Mar-12,4,Oct-19,6,Dec-18,8,Jul-21,3,May-11,4,Dec-10,22,Jul-20,1,Jul-12,56,Jan-17,7,Oct-17,4,Mar-23,150,Nov-17,11,Jul-15,3,Apr-16,3,Jul-07,3,Mar-15,146
Sep-21,2,Jun-04,24,Sep-21,8,Apr-17,2,Aug-22,150,Dec-20,45,Oct-12,15,Sep-18,7,Nov-07,4,Oct-13,10,Mar-11,3,Aug-20,150,Sep-18,18,Mar-13,9,Sep-20,7,Mar-21,67,Dec-16,65,Jan-13,7,Dec-11,150,Mar-15,3,May-16,19,Jan-19,24,May-03,5,Jul-15,63,May-20,59,Jul-14,69,Jul-16,138,Nov-21,150,Sep-19,5,Jan-22,15,Dec-14,92,Aug-16,9,Apr-21,13,May-13,1,Apr-12,2,Nov-19,14,Jan-19,42,Aug-21,3,Jun-11,10,Jan-11,25,Aug-20,4,Aug-12,40,Feb-17,10,Nov-17,3,Apr-23,150,Dec-17,3,Aug-15,8,May-16,2,Aug-07,7,Apr-15,134
Oct-21,2,Jul-04,31,Oct-21,7,May-17,3,Sep-22,150,Jan-21,28,Nov-12,9,Oct-18,2,Dec-07,1,Nov-13,8,Apr-11,2,Sep-20,150,Oct-18,25,Apr-13,17,Oct-20,7,Apr-21,46,Jan-17,114,Feb-13,20,Jan-12,150,Apr-15,1,Jun-16,23,Feb-19,63,Jun-03,3,Aug-15,150,Jun-20,77,Aug-14,58,Aug-16,120,Dec-21,150,Oct-19,4,Feb-22,17,Jan-15,77,Sep-16,9,May-21,32,Jun-13,2,May-12,4,Dec-19,10,Feb-19,52,Sep-21,5,Jul-11,4,Feb-11,27,Sep-20,5,Sep-12,7,Mar-17,18,Dec-17,8,May-23,150,Jan-18,3,Sep-15,10,Jun-16,7,Sep-07,6,May-15,109
Nov-21,5,Aug-04,34,Nov-21,8,Jun-17,2,Oct-22,150,Feb-21,20,Dec-12,18,Nov-18,15,Jan-08,5,Dec-13,7,May-11,7,Oct-20,150,Nov-18,30,May-13,15,Nov-20,6,May-21,38,Feb-17,109,Mar-13,33,Feb-12,150,May-15,2,Jul-16,17,Mar-19,73,Jul-03,6,Sep-15,150,Jul-20,122,Sep-14,53,Sep-16,105,Jan-22,150,Nov-19,10,Mar-22,22,Feb-15,43,Oct-16,3,Jun-21,50,Jul-13,5,Jun-12,19,Jan-20,4,Mar-19,42,Oct-21,5,Aug-11,7,Mar-11,27,Oct-20,6,Oct-12,6,Apr-17,3,Jan-18,20,Jun-23,150,Feb-18,1,Oct-15,22,Jul-16,19,Oct-07,3,Jun-15,96
Dec-21,1,Sep-04,35,Dec-21,32,Jul-17,1,Nov-22,139,Mar-21,18,Jan-13,13,Dec-18,11,Feb-08,5,Jan-14,5,Jun-11,3,Nov-20,150,Dec-18,30,Jun-13,11,Dec-20,5,Jun-21,35,Mar-17,108,Apr-13,40,Mar-12,148,Jun-15,5,Aug-16,29,Apr-19,116,Aug-03,4,Oct-15,150,Aug-20,149,Oct-14,64,Oct-16,99,Feb-22,150,Dec-19,3,Apr-22,4,Mar-15,50,Nov-16,6,Jul-21,20,Aug-13,3,Jul-12,48,Feb-20,18,Apr-19,13,Nov-21,4,Sep-11,19,Apr-11,24,Nov-20,4,Nov-12,8,May-17,8,Feb-18,14,Jul-23,150,Mar-18,1,Nov-15,17,Aug-16,58,Nov-07,7,Jul-15,117
Jan-22,4,Oct-04,41,Jan-22,100,Aug-17,5,Dec-22,150,Apr-21,14,Feb-13,13,Jan-19,5,Mar-08,3,Feb-14,10,Jul-11,1,Dec-20,150,Jan-19,30,Jul-13,10,Jan-21,6,Jul-21,32,Apr-17,136,May-13,30,Apr-12,117,Jul-15,8,Sep-16,23,May-19,133,Sep-03,3,Nov-15,150,Sep-20,150,Nov-14,54,Nov-16,64,Mar-22,150,Jan-20,6,May-22,9,Apr-15,51,Dec-16,9,Aug-21,19,Sep-13,5,Aug-12,44,Mar-20,43,May-19,11,Dec-21,9,Oct-11,9,May-11,24,Dec-20,8,Dec-12,12,Jun-17,26,Mar-18,19,Aug-23,150,Apr-18,2,Dec-15,24,Sep-16,30,Dec-07,6,Aug-15,150
Feb-22,1,Nov-04,48,Feb-22,79,Sep-17,1,Jan-23,150,May-21,19,Mar-13,9,Feb-19,7,Apr-08,27,Mar-14,12,Aug-11,5,Jan-21,116,Feb-19,30,Aug-13,16,Feb-21,3,Aug-21,74,May-17,125,Jun-13,30,May-12,111,Aug-15,9,Oct-16,8,Jun-19,138,Oct-03,7,Dec-15,150,Oct-20,150,Dec-14,67,Dec-16,94,Apr-22,150,Feb-20,6,Jun-22,6,May-15,75,Jan-17,7,Sep-21,21,Oct-13,9,Sep-12,53,Apr-20,32,Jun-19,19,Jan-22,2,Nov-11,15,Jun-11,22,Jan-21,12,Jan-13,11,Jul-17,23,Apr-18,37,Sep-23,121,May-18,3,Jan-16,37,Oct-16,44,Jan-08,3,Sep-15,150
