"""개같이""","""개같이""",,,,,
연/월,"""개같이""_빈도수",,,,,
23-Oct,150,,,,,
23-Sep,150,,,,,
23-Aug,150,,,,,
23-Jul,150,,,,,
23-Jun,150,,,,,
23-May,150,,,,,
23-Apr,150,,,,,
23-Mar,150,,,,,
23-Feb,150,,,,,
23-Jan,150,,,,,
22-Dec,150,,,,,
22-Nov,150,,,,,
22-Oct,150,,,,,
22-Sep,150,,,,,
22-Aug,150,,,,,
22-Jul,150,,,,,
22-Jun,150,,,,,
22-May,150,,,,,
22-Apr,150,,,,,
22-Mar,150,,,,,
22-Feb,150,,,,,
22-Jan,150,,,,,
21-Dec,150,,,,,
21-Nov,150,,,,,
21-Oct,150,,,,,
21-Sep,150,,,,,
21-Aug,150,,,,,
21-Jul,150,,,,,
21-Jun,150,,,,,
21-May,150,,,,,
21-Apr,150,,,,,
21-Mar,150,,,,,
21-Feb,150,,,,,
21-Jan,150,,,,,
20-Dec,150,,,,,
20-Nov,150,,,,,
20-Oct,150,,,,,
20-Sep,150,,,,,
20-Aug,150,,,,,
20-Jul,150,,,,,
20-Jun,150,,,,,
20-May,150,,,,,
20-Apr,150,,,,,
20-Mar,150,,,,,
20-Feb,150,,,,,
20-Jan,150,,,,,
19-Dec,150,,,,,
19-Nov,150,,,,,
19-Oct,150,,,,,
19-Sep,150,,,,,
19-Aug,150,,,,,
19-Jul,150,,,,,
19-Jun,150,,,,,
19-May,150,,,,,
19-Apr,150,,,,,
19-Mar,150,,,,,
19-Feb,150,,,,,
19-Jan,150,,,,,
18-Dec,150,,,,,
18-Nov,150,,,,,
18-Oct,150,,,,,
18-Sep,150,,,,,
18-Aug,150,,,,,
18-Jul,150,,,,,
18-Jun,150,,,,,
18-May,150,,,,,
18-Apr,150,,,,,
18-Mar,150,,,,,
18-Feb,150,,,,,
18-Jan,150,,,,,
17-Dec,150,,,,,
17-Nov,150,,,,,
17-Oct,150,,,,,
17-Sep,150,,,,,
17-Aug,150,,,,,
17-Jul,150,,,,,
17-Jun,150,,,,,
17-May,150,,,,,
17-Apr,150,,,,,
17-Mar,150,,,,,
17-Feb,150,,,,,
17-Jan,150,,,,,
16-Dec,150,,,,,
16-Nov,150,,,,,
16-Oct,150,,,,,
16-Sep,150,,,,,
16-Aug,150,,,,,
16-Jul,150,,,,,
16-Jun,150,,,,,
16-May,150,,,,,
16-Apr,150,,,,,
16-Mar,150,,,,,
16-Feb,150,,,,,
16-Jan,150,,,,,
15-Dec,150,,,,,
15-Nov,150,,,,,
15-Oct,150,,,,,
15-Sep,150,,,,,
15-Aug,150,,,,,
15-Jul,150,,,,,
15-Jun,150,,,,,
15-May,150,,,,,
15-Apr,150,,,,,
15-Mar,150,,,,,
15-Feb,150,,,,,
15-Jan,150,,,,,
14-Dec,150,,,,,
14-Nov,150,,,,,
14-Oct,150,,,,,
14-Sep,150,,,,,
14-Aug,150,,,,,
14-Jul,150,,,,,
14-Jun,150,,,,,
14-May,150,,,,,
14-Apr,150,,,14-Apr,73,
14-Mar,150,,,14-Mar,76,
14-Feb,150,,,14-Feb,69,
14-Jan,150,,,14-Jan,96,
13-Dec,150,,,13-Dec,77,
13-Nov,150,,,13-Nov,93,
13-Oct,150,,,13-Oct,101,
13-Sep,150,,,13-Sep,77,
13-Aug,150,,,13-Aug,41,
13-Jul,150,,,13-Jul,20,
13-Jun,150,,,13-Jun,19,
13-May,150,,,13-May,40,
13-Apr,150,,,13-Apr,28,
13-Mar,150,,,13-Mar,20,
13-Feb,150,,,13-Feb,19,
13-Jan,150,,,13-Jan,17,
12-Dec,150,,,12-Dec,21,
12-Nov,150,,,12-Nov,33,
12-Oct,150,,,12-Oct,22,
12-Sep,150,,,12-Sep,27,
12-Aug,150,,,12-Aug,19,
12-Jul,150,,,12-Jul,34,
12-Jun,150,,,12-Jun,24,
12-May,150,,,12-May,39,
12-Apr,149,,,12-Apr,28,
12-Mar,150,,,12-Mar,24,
12-Feb,150,,,12-Feb,6,
12-Jan,150,,,12-Jan,10,
11-Dec,150,,,11-Dec,8,
11-Nov,150,,,11-Nov,6,
11-Oct,150,,,11-Oct,10,
11-Sep,150,,,11-Sep,3,
11-Aug,150,,,11-Aug,3,
11-Jul,150,,,11-Jul,15,
11-Jun,149,,,11-Jun,18,
11-May,150,,,11-May,7,
11-Apr,149,,,11-Apr,10,
11-Mar,141,,,11-Mar,7,
11-Feb,138,,,11-Feb,11,
11-Jan,150,,,11-Jan,7,
10-Dec,120,,,10-Dec,1,
10-Nov,114,,,10-Nov,11,
10-Oct,125,,,10-Oct,19,
10-Sep,112,,,10-Sep,12,
10-Aug,127,,,10-Aug,11,
10-Jul,140,,,10-Jul,7,
10-Jun,119,,,10-Jun,3,
10-May,120,,,10-May,4,
10-Apr,128,,,10-Apr,8,
10-Mar,141,,,10-Mar,5,
10-Feb,132,,,10-Feb,9,
10-Jan,129,,,10-Jan,13,
09-Dec,106,,,09-Dec,4,
09-Nov,126,,,09-Nov,5,
09-Oct,132,,,09-Oct,3,
09-Sep,148,,,09-Sep,7,
09-Aug,117,,,09-Aug,2,
09-Jul,118,,,09-Jul,1,
09-Jun,129,,,09-Jun,20,
09-May,115,,,09-May,2,
09-Apr,129,,,09-Apr,4,
09-Mar,115,,,09-Mar,0,
09-Feb,107,,,,,
09-Jan,109,,,,,
08-Dec,126,,,,,
08-Nov,109,,,,,
08-Oct,112,,,,,
08-Sep,97,,,,,
08-Aug,94,,,,,
08-Jul,114,,,,,
08-Jun,96,,,,,
08-May,105,,,,,
08-Apr,99,,,,,
