제목,내용,게시자,게시날짜
[사이판 셀프투어] 가볼만한 곳(그루토투어/마나가하섬/탱크비치/래더비치/별빛투어),했는데 와보니 알겠다 진짜 불빛하나 없이 깜깜해서 차 들어올 때 마다 쌍라이트가 별 구경하는 사람들 갑분싸 만들 정도 ㅎㅎ 밤엔 바람땜에 쌀쌀해서 긴옷 입고 가는게 좋다 (간지나는 남의 오픈카 옆에서 사진찍기) 선명한 북두칠성 진짜 신기했다✨✨ 자살절벽/새섬...,zia LOG,1일 전
급성방광염에 걸려서 자폭하고 싶지만 덕질하고 싶어서 살고싶은 사람,귀여운 저희집 강아지 좀 보세요 모싯잎송편 간식으로 하나만 먹으려했는데 세 개 먹었읍니다 하 아침에 싸한 느낌이 들더니 방광염 걸림 ㄹㅇ갑분싸 왜 ??? 갑자기 찾아오고 죠랄이새요????? 예???? 하필 점심시간 걸려서 2시까지 기다리는데 지옥같았다 염증수치 개높고...,いらっしゃいませ ٩(๑❛ʚ❛๑)۶,1일 전
최고 행복한날들 23.09.28-23.11.24,져서 갑분싸 될까봐 걱정했지만 다행이도 이겼다 오예 재밌었던 컬컴에서 다같이 축구보기 또 다시 글램핑을 가는 날 ! 드디어 출발이가 가기전에 매일 매일 준비하면서 행복했다 그렇게 지옥에서 온 어묵탕을 만들었고 이것 또한 추억이 되었다 처음 해본 오로라 불꽃는...,인생 버티고 또 버티는거야,1일 전
Isfp분들은 싸우고 연락 먼저 안하세용?,어 일단 알겠어..하고 눈치만 보는 고양이짓때문에 나도 모르겠다 하는중.자기만 인간고양이냐고.. 서로 이유 모른채 갑분싸로 눈치싸움인거였으니.. 대놓고 싸운것도 아니라 어떻게 풀어야할지.. 그래도 풀어 볼려고 mbti카페에 로그인해서 물어보는..ㅎㅎ;,MBTI 심리 카페,1일 전
어휴 추워,결국 최탈해서 분위기 갑분싸 됐지만 잘먹었다^_^ 그렇다고 그림자를 이렇게 찍으면 더 허망해 보이잖아 ㅡㅡ 기회는 또 있을거라 생각하고 이제 언급 안하기로 맘먹음 또대롱씨랑 햄버거 사먹음. 맥날근본은 맥치킨 모자렐라던데 이거 아무도 모르더라 서러워 죽음 글고...,meenseoc,1일 전
친구없어보이는 사람은 티가 나는거같아요,자발적 아싸면 몰라도 본인도 모르게 주변에 사람이 떠나가는 유형인 사람들 보면 뭔가 티가 나는 거 같아요 아 이래서 얜 친구가 없구나… 뭔가 그냥 넘어가도 될 일을 따지고 들거나 말투를 둥글게 할 줄 모르거나 눈치없거나 상대 존중 못하거나 갑분싸 만드는 일이 잦은듯요,"레몬테라스 [인테리어,리폼,DIY,요리,결혼,육아]",1일 전
솔직히 친구 별로 없는 사람 뭔가 사회성없는 티 나지않아요?,자발적 아싸면 몰라도 본인도 모르게 주변에 사람이 떠나가는 유형인 사람들 보면 뭔가 티가 나는 거 같아요 아 이래서 얜 친구가 없구나… 뭔가 그냥 넘어가도 될 일을 따지고 들거나 말투를 둥글게 할 줄 모르거나 갑분싸 만드는 일이 잦은듯요,●디젤매니아● 대한민국 일등 패션 커뮤니티 디매인 DMAIN,1일 전
그냥 내 생각 제 생각입니다ㅓㅅㄷ,진심 저 옛날에 하스하실 때 기억하실지 모르겠지만 복족이로 안좋은 드립쳐서 갑분싸만든 씹청자입니다. 정말 6번째지만 사과드리고요 그냥 진짜 막말로다가 남캠 상담캠 개드립캠이니까 하고싶은대로 해주세요 제발!!,§ 침착맨 카페 §,1일 전
엄마랑 겨울 도쿄 여행 1,"사람들 옷 구경하는 것도 재밌당 ~~ 시부야로 걸어가던 길 이날 내가 옷 구경하기 힘들다고 찡찡거려서 (좀 마니 ㅋ,,) '갑분싸' 됐음 ㅋㅋㅋㅋㅋ .. 침묵 워킹 (ㅋㅋㅠㅠ) 중에 발견한 구글재팬 구글에서 일해보고 싶드앜!!!!!!!! 구글 인재(쫑스) 좀 뽑아가주세용 엄마가...",헤이 쫑스,1일 전
여자배구 별에별 장면이 다나오네요 ㅋㅋㅋ,"벤치에 박은지가 부져버튼에 앉아서 부져를 눌러버림ㅋㅋ 갑자기 경기장에 ""뿌우~~~"" 선수들 갑분싸ㅋㅋㅋ 봐달라고 부져누른 박은지 두손모아서 싹싹빔..ㅋㅋㅋㅋㅋ",벳월드 - 스포츠 토토 프로토 정보 배팅 분석 커뮤니티,1일 전
