제목,내용,게시자,게시날짜
✔️ 잼있어요 쿵쿵따리 쿵쿵야 팝업에서 굿즈 사오기/내돈내산/솔직후기/솔직리뷰/잠실/쿵야팝업...,내돈내산임 #내돈내산 #솔직리뷰 #이웃 #소통 #공감 #서이추 #서이추환영 #서로이웃 #서로이웃환영 #추천 #리뷰 #이웃추가 #후기 #솔직후기 #덕후 #쿵야 #양파쿵야 #맑눈광 #잠실 #잠실팝업 #팝업 #서울팝업 #주먹밥쿵야 #쿵야굿즈 #랜덤피규어 #랜덤 #가챠 #잠실쿵야팝업...,못참긴해,1일 전
너무x100 바쁜 7월,이번에 노랑노랑이ㅋㅋㅋㅋ #맑눈광 케이크 이런건 또 어디서 들고 왔는지ㅋㅋㅋㅋ 서나라랑 기분좋게 재밌게 잘 놀고 집에 오는데 음주단속하더라 처음으로 해본 음주단속ㅋㅋ 계속 후~~ 불라는데 호흡이 딸려서 힘들었당ㅋㅋㅋ 새로운 경험 +1 아주 좋아연ㅎㅎ 기분 좋게...,노는게 제일 좋아 ⁚D,1일 전
https://m.blog.naver.com/rlaekwjd0408/223274774128,그리고 카페에서 떠들면서 사진 또 찍기 ㅋㅋㅋㅋㅋㅋ평범하게 찍어주고 까불이 샷 확대 샷 숨은 김다정 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맑눈광도 해주고 바나나케잌 위에 있던ㅋㅋㅋㅋㅋㅋㅋ 풀로 장난 좀 쳐주고 아빈이도 시키기 ㅎㅎ...,다정한 다정씨ෆ⸒⸒,1일 전
제목없음!,갑자기 저한테서 맑눈광이 느껴진대요! 요즘 생태로 살아가는중 ㅎ 그리고는 잠금화면도 바꿔주심 연습실 문을 똑똑하더니 귤하나 주고 사라지는 채현이 잘 먹었오~~~ 최연우 스윗걸~ 유채현 계속 이상한 거 가져와서 냅다 씌움 ㅠ 그치만 해달라면 다 해드려요 ㅎ 범계...,:(:,1일 전
잠실 롯데월드몰 쿵야팝업 소원상점 오픈런 해서 소원 빌고 왔어요,"초말랑한 봉제 포카홀더 좋아하는 멤버가 맑눈광이다, 주먹밥을 닮았다 하면 사아죠! 바로 사야 됩니다. 주쿵이 양쿵이 포카홀더... 주위에 있는 맑눈광인들에게 선물로 주면 좋겠죠? 초재미있는 쏘옥 키링 발매하자마자 구입한 쏘옥 키링 인데요, 저 주쿵이 양쿵이가...",락츄의 즐거운 생활로직,1일 전
이렇게 빨리 가지마 연말,ㅇ-<-< 보는 여러분들 속 안좋아도 어쩔 구 어뵤음 이건 그냥 나 반전 거울 사고 나서 오른쪽 왼쪽 사짐 만ㄹ이 찍게 됌 여기도 맛있음 서경중 교생쌤들하구 만났당 헤헤 언제나 귀엽지만 어딘가 지쳐보이는 주은이와 이 어쩐지 광을 잃은 일하는 쿵야 보성쌤.. 여전히...,☺︎︎ ☀︎︎,1일 전
내 동생들,이빨 하나 빠졌다 바보둘째 하리보 찍는중인데 갑자기 둘째 난입 맑눈광 텁--- 바로 뺏고 내가 먹기ㅋ 슬슬 진짜 이빨 빠지려구 하는중이라 이빨 넘 못생김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그냥 투컷 발 왜 그러고 있슈? 쥐 오겠슈 이빨 다 났다 이제 둘째는 엉아다 계속...,이것저것,1일 전
독감 전역 퇴사,부점장님이거덩요~ 맑눈광 재현 귀여운 나 조명 두르고 인간 크리스마스트리가 된 유재현과 귀여운 혜성이와 아기와 귀여운 나 재현이가 조금 맑눈광 같지만 정말 착한 아이에요… 나름… 한동안 재현이에 대한 분석을 좀 해봤는데 재현이는 정말 귀엽슴다 군 적금을...,Come on,1일 전
레슨 인 케미스트리 1,"엘리사베스 조트는 눈부신 미모에 천재적인 두뇌까지 갖추고 당당하게 부조리한 사회에 맞서며 소신을 밝히는 요즘 말로 일명 '맑눈광'인 다소 4차원적이 여자이다. 거역하고 부정하면 죄가 될 것들을, 털어놓지 못하는 속앓이를 하는 여자의 목소리를 내어 주었다. 모성을...",Present is present !!,1일 전
2023.11.19 ~ 2023.11.25,"맑눈광.. 귀요미들 과 사진 찍고 소망 적는 곳이 있길래 나의 소망을 적었다 ""연봉아 올라라"" 다음은 본 스테이지인 아쿠아리움 되시겠습니다 입구 쪽에서 만난 물고기 그리고 잠자는 참물범 귀여운 펭귄! 수영하는거 찍고 싶었는데 얘네들도 수영을 아주 잘해서...못 찍었다...",으녕's_story,1일 전
롯데월드타워 2023 크리스마스마켓 & 잠실쿵야팝업스토어 굿즈 등등,맑눈광 잠옷하며.. 마네킹까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈을 왜 그렇게 떠요... 제일 탐났던것 쿵야 맑은눈의 슬리퍼 ㅋㅋㅋㅋㅋㅋ 눈만... ㅋㅋ 맑눈광 어프어프 폰케이스 거대조형물 양파쿵야 잘린 양파 들고있는데 저거 자기 친구 자른거 아니여...? ㅠㅠ 양파가 왜...,두런두런 스쿠비듀,1일 전
2023.11.16 목요일의 유지니,2023년11월16일목요일 오늘도 유지니는 지게차를 배우러 갑니다 얏호르~~~~~~ 맑눈광.. 필기 붙어서 공부 1도 안하고 말도 1도 안듣는 중~~~ 에베베베베ㅔ 점심은 와구와구 골키에 유부초밥에 돈시몬 ! 아주 맛있겠죠????? 히히 엄마가 유부를 아주 쪽 짜서 골키랑 먹기 좋아버렸어...,먹기만 하는 유지니,1일 전
내 인생 다시 없을 2주간의 일본 여행(2),준섭이형은 술만 마시면 진짜 맑눈광 ㅋㅋㅋㅋ 음... 먹고나서 보니 조금은 어지러웠던 금액 ㅋㅋㅋ 그래도 술 무제한에 스키야끼도 맛있었으니까! 저 가격 주고도 다음에 다시 오고싶은... 2023.02.19 유니버셜 스튜디오 Day 9 오늘은 정말 학교 일정이 단 하나도 없는 온전한...,중현,1일 전
맑눈광 김아영 보습크림 김정문알로에 큐어크림 2X 가성비 좋은 환절기 멀티밤,맑눈광 김아영 보습크림 김정문알로에 큐어크림 2X 가성비 좋은 환절기 멀티밤 안녕하세요 졔졔입니당 :) TV를 보다가 발견한 화장품 모델이 된 맑눈광 김아영배우! 원래부터 피부가 참 좋았어서 유튜브 채널 구독하면서도 피부관리법 구경했는데 SNL크루부터 이렇게...,❤️경험부자 졔졔의 갓생기록❤️ 뷰티/여행/운동,1일 전
크리스마스 한 달전이야,너무 잘 봤다 그니까 돈 내놔 아 귀여버 맑눈광 뭔가 위험한 구도처럼 나옴 그 동안 먹은 치킨… 근데 이제 ㄹㅇ 야할 때라 다이어트보단.. 양 줄일게요 #치킨과이별#근데이별하려면이별여행해야지#한번더만나자 첨 만져봄 스팀에서 브이로이드로 버츄얼만들고...,가슴이 시키는 대로 삽니다,1일 전
230828~0903,걔네 젖을까봐 그건 쫌 마니 걱정됐음 부산아 안뇽 잘있어 ㅠㅡㅠ 언젠간 이사올게 나는 슬픈+지친 표정인데 민주는 맑눈광처럼 쳐다보는거 왤케 웃기지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나만 집가기싫어보임 ㅜㅜ 다행히 서울역에서 노숙안하고 집에 잘 들어갔답니다 부산에서 서울...,나의 스물하나,1일 전
20231108/1122 난쟁이들 자첫자둘 후기,서동진은 저번 시즌도 신데렐라였는데 너무 잘 어울리는 맑눈광이었고. 이 사람이 난쟁이들에??? 했던 또 다른 사람이 남민우인데 진짜 난쟁이로 등장했을 때부터 너무 웃겼다ㅠㅠㅠㅠ 어떻게 이 위아래가 동일 인물이죠? (좋다는 뜻임) 믿나에서 봤을 때 진짜 무서웠는데...,Seo,1일 전
