제목,내용,게시자,게시날짜
점점 쫄리는 시기가 다가오기 시작하다 ...,진짜 리터럴리 스터디에 치여서 한숨 쉴 시간도 없음 ◠‿◠ 눈 뜸 -> 공부함 -> 밥 먹음 -> 커피 마심 -> 공부함 -> 밥 먹음 -> 공부함 -> 씻고 잠 ㅇㄱㄹㅇ 근데 뭐 어쩌겠어오 스불재 ㅋㅋ.. 내가 잡은 내 스케줄 내가 감당 못해서 제대로 못하는 것만큼 짜증나고 꼴불견인 게...,˚ ˛ ˚ 。*,1일 전
"별다를 것 없는 하루들, 주고받는 마음들",공짜로 육지 다녀올 수 있었는데 스불재의 향연이로다. 쌩돈 8만 원 날리고 겨우 비행기를 잡았다. 나는 뭐 부자는 못 될 팔자인가 봐. 근데 신기하게 피카츄 비행기를 봐서 잠시나마 기분 좋았음. swimming in the sky. 거의 뭐 해가 다 져서야 서울에 도착했지만 운 좋게도...,나에게 안녕을 묻는다,1일 전
뿌듯함을 얻고 허리를 잃었다…,택꾸 슬슬 시동걸려고 선만 땄는데 허리가 작살이 난 것 같아요 그래도 꾸나를 위해서라면…! 꾸나랑 저랑 둘 다 주술회전을 좋아해서 주술회전으로 하는데 괜히 어려운 걸 고른 것 같아요 흑흑 이게 스불재가 아니면 뭐야,고무신 카페 (곰신모임),1일 전
...굉장한 스불재 애니메이팅 중셉,스포 방지용 4배속 아직 겨우 러프상태라 팬아트 게시판이나 그림자랑 게시판이 아니라 자유 게시판에 올려봅니다....... 왜 이렇게 크게 일을 벌렸을까요?ㅋㅋㅋ 작년에도 애니메이팅으로 합작 참여했었지만 SD에 짧았는데 올해는 무슨 바람인지 이리 되었습니다...,그려봐요 메리마의 숲,1일 전
그렇게 해도 후회가 남는 게 사랑,스불재 알바 끝난 일요일 저녁은 맨날 일하는 날임 근데 방송국 히터 왜 고장 났나요 왜 아직도 안 고쳐주나요 추워요.. ? 나쵸 통 너무 예쁘죠오 초등학생 친구들이 놀러 옴 이름도 알려줬는데 기억이 안 나네.. 근데 내 이름 듣자마자 르세라핌....? 이러길래 그래 맞아~~ 함...,⠀,1일 전
[세븐틴끼리 카톡하기] Midnight 01,그런 셈이지 왜 애들 오늘 새벽부터 임무 다녀와서 애들 임무 끝나는 거 기다리다가 보고받고 하느라고 늦게까지 못 잤는데 자고 일어나면 너무 늦게 일어날까 봐 그냥 새고 오늘 일찍 자게 다 걍 자 뭔 상관 애들은 너 없으면 더 좋아해 헛소리 말고 헛소리는 아닌데...,Borboleta,1일 전
'미만잡'이 뭐지?,"인터넷에 유행하는 신조어를 치면 반모(반말모드), 오하운(오늘 하루운동), 따상(더블+상한가), 방방봐(방송은 방송으로만 봐라), 구취(구독취소), 네다씹(네 다음 씹덕후), ㅈㅂㅈㅇ(정보좀요), 스불재(스스로 불러온 재앙)가 있다. 분명한 것은 시간이 지날수록 우리말과...",조경기능사∙품질경영관리사,1일 전
我最喜欢10月♡,생각하면 걍 눈물만 나와 문돌이가 외 여기에 #스불재 로타푸렌즈 더치킨 노뇸 무려 김호중선생님이 술 마시고 싶다 함 ㅠ 나 개빡열공 중이었는데 이건 진짜 못참음 어케 참아????????????????????? 안되는 않돼 거절은 거절해~ 인데 거절했어야했나? 무려 기현오빠가 밥 사줌...,선뉴일기장,1일 전
그동안 이렇게 지냈걸랑요,"하염~~⭐️ 도발이 왔어요 뿌우~~ 오늘은 금요일 밤인데 딱히 일정이 없어서 심심하고, 금요일 밤에 일찍 자기는 너무 아까우니까 블로그라도 써보려고 함^___^ 내일의 일정은 스불재 독후감.. 시작이자 마무리 [231124] 이제 익숙하시져? 전 항상 시간의 역순으로.. 기억을...",DYnamic DoYeon,1일 전
11/25 B612 레몬헤드 + OB11바디 조립,괜찮았다 이 이후로 어려운건 나의 스불재인데 다리 텐션 약 9센치를 너무 딱맞는 9센치로 해버려서 텐션을 당기는데 길이가 너무 아슬아슬했다 ㅠㅠ 여기까지만해도 오 나 천재인듯? 하고 자화자찬함 완성된 모습 발 끼우는 과정이 가장 오래걸렸다... 이걸 교훈...,씅양희의 빙글빙글 세상,1일 전
아... 스불재...,쓰으으읍 화질 시벌 뭐야 선 굵기 잘못 설정한듯 언제 완성하냐,Painter-描け(그려봐!),1일 전
