제목,내용,게시자,게시날짜
2023-5,"루미큐브 숫자 핸드폰으로 계산하는 거 ㅋㅋㅋㅋㅋㅋㅋ 진짜 쨈민이 아니냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어쩔 티비도 들었다,, 네이티브는... 귀여워서 어쩔 수 없었다 .. 뽕 뽑을 때까지 쓸거야! 눈아 어서와죠 잡생각이 들면 바로 몸 움직이기 사부작 사부작 세상 제일 쉬운...",: D,1일 전
남편 회식후 지금 와서 화내요(펑예),오늘 6시부터9시까지 취미활동 동호회 회식이라고 퇴근후 갔어요 9시반쯤 톡 했는데 안보ㅏ서 그래서 10시쯤 전화했더니 2번째 받았어요 신랑이. 지금 끝나가 이제가려고 그래서 제가 .11시까지와 왜연락이없어 그러고 집에 11시까지 왔는데 11시까지온게 화나나봐요...,"맘이베베 (핫딜, 육아, 놀이)",1일 전
20231121,캐널시티~(약간 어쩔티비같음 어쩔캐널시티~) 숙소 정리하고 캐널시티 가서 쇼핑.. 가챠도 돌리고... 굿즈도 사고... 아니 근데 새삼 은혼 굿즈가 참 적다는 게 느껴졋다... 참나 ....ㅠ 동구리공화국 지브리 굿즈도 구경~ 오른쪽 거울 꽤 귀여웠는데 언니가 삼 ㅎ 잘 됐다.. 사실...,하하하,1일 전
이승환이 부릅니다 천일동안,초딩 어쩔티비 Zi존태우 ㅇㅈㄹ 급한대로 대충 편지에 대한 답가 이하동문이카고있네 응애 해봐 태우 괴롭히는게 젤 잼따 더 울어봐 응애 응애 와인 세병 화끈하게 먹고 화끈한 1000일 끗 오호라 .. 이런 뷰 였군 난장판이 된 우리의 방과 정체 모를 선박들 꽃은 탁자에...,uiwaer,1일 전
지원시의 뇌절 등산일기 [그 산에 가다],"시벌 난 이게 최선인데 왜 자꾸 지기만 하는거여 내 유리멘탈 어쩔티비.... 호리호리한 인간들이 패딩 잔뜩 구겨입고 슉슉 지나가는거 보면 왜이리 내 가방과 몸은 무거운건지 속상해서 눈물이 나는데 하 미친 어쩐지,,,, 아이패드를 가방에 들고 온걸 깨달았음 너무...",대유잼 라이프 지원,1일 전
[리뷰] 베스킨라빈스 신상 / 도라에몽의 팥붕! 슈붕!,"이러다가 한 2~3년 뒤에 나오는 배라 신상이름은 어쩔티비 저쩔티비 달고나보다 더 달쥬? 이렇게 나올듯 ㄷㄷ 암튼 얼른 먹어봐야지 하고 주문함. 저는 이름이 이상해도 신상인 도라에몽의 팥붕! 슈붕!을 주문했고, 여자친구는 초코나무숲으로 주문했음. 아이스크림 퍼주기...",호밀밭에 허수아비,1일 전
나홀로 시드니 ! - 2,"ㅋㅋㅋㅋㅋㅋㅋㅋ 사실,, 저,, 처음 탔을 때 수많은 사람들 앞에서 앞으로 완전 엎어졌슴다 ^-^ 진짜,, 쪽팔려서 그 뒤로 다시는 안 타고싶었는데 갑자기 스쳐지나가는 투어비와 갑자기 !!! 하면서 탔더니 저런 결과물 크 ~ 재밌었음 ㅋㅋㅋ 죄송해요 사진 좀 많이...",my happiness ◡̈,1일 전
""" 수능후기 """,응 떨어져봐 떨어져봐~ 어쩔티비어쩔냉장고 ㅈㄴ 여유롭습니다 그러나 막상 불이 떨어지면 아뜨거워시발뜨거워아뜨거워아!!!!!!!!!!!!!!우왓 엑 아뜨거워뜨뜨뜨뜨뜨뜨뜨뜨뜨뜨 누구보다 요란하게 뜨거워합니다 너무나도 뜨거워하는 나머지 본능적으로 막 날뛰어서 누구보다...,김병석,1일 전
"특별한날 가기 좋은 [루프탑라운지1987 이천점] 연말파티 ,크리스마스파티 장소 추천 !","페퍼로니피자 비쥬얼,,, 오메,, 칵테일 까지 이쁘면 어쩔티비ㅠ_ㅠ 빨간건 여보꺼 노란건 내꺼인디 노란건 논알콜이다 차도 가지고 왔고,, 감기때문에 약먹어야해서 너무너무너무너무 아쉬울뿐이다 (술도둑 스지전골과 소주를 먹을 수 없다는게..) 다르게 말하면 술...",세상이네,1일 전
동성로 디저트 대구 푸딩 맛집 프로포르 베이크 하우스(PROPOR BAKE HOUSE),"저는 으른이니까 이거도 하나 사볼까하다가 그냥 집 냉장고에 있는 와인 하나 까묵기로 했슴다 포장해서 먹어본 푸딩 커스카드 캬라멜 푸딩 5,800 패키지 디자인 is Veeeeery Lovelyyyyy 저쩔티비냉장고전자레인지 식기세척기갖고싶다 아니 이런 센스있는 포장 넘...",오늘은 멋진 하루가 될 거야,1일 전
월루하기,어쩔티비 엄마랑 집앞 양대창집에서 술먹엇워요 여기 진짜 개자주감요 왜냐면 존맛리걸랑 ㅈㄴ 찐따같은 나의 모습에도 감사합니다~ 뿌! 뿌! 뿌! 대애애야야야애야앵애애애애애애앰 아젓워너랔 파리아리아 아 아 아 우지햄 본 날 ㅈㄴ 남성들 천지여서 개밀렸음 우지 진짜...,김잼민씨의 일상탈출,1일 전
중요한 것은 꺾였다가 다시 하는 마음?,'중꺾마가 중요한게 맞네.' 중꺾마~ (나야 뭐 정신연령이 유아틱해서 그 이후에는 다시 '어쩔 티비'라는 말이나 많이 하고 다녔다.) 계례서 얘쨰럐거~ 어쨌거나 그말을 하는 이유는 오늘 블로그를 3일만에 다시 쓰는데 있어서 키워드로 하고싶다. '아 씨 계속 해보자고 했는데...,스마트한 경제&스마트한 투자,1일 전
11월 일상블로그2,이미 약속시간은 40분 늦어지고 있지만 티원 베이스캠프 발견하고 참을 수 없어서 들어가버림 잼민이처럼 사진찍고 기분 좋은 채로 총총 약속장소로 그나저나 앞머리 ㄹㅇ 어쩔티비 노티드걸이 찾아온 술집 배터리88 아니 둘 다 알바하다가 만난 건데 나는 누가봐도...,도리도리도리도리 감자맛도리 ♪,1일 전
심플널싱 먹튀?,다운로드가 안됨 출금내역도 있는데 어이없네 활성화 어떻게 하는거임 ㅜ 일단 미국에 메일 보내놨는데 시차 때문에 화요일은 돼야 답변 받을텐데 그때까지 돈내고 시간 날리는 건 어떡함 유월드 문풀해보니 개념정리가 시급한데 심플널싱 때문에 손해보는 내시간 ..,Choco cookies,1일 전
나의 덜떨어진 50문답,A: 작년에 한동안 어쩔티비~ 거리고 다녔었다 8. 주변 사람을 덕질해본적이 있는지? A: 없다 (아마) 9. 내 생각에 내가 가장 예뻤던 시기는? A: 중2? 10. 나는 몰랐지만 남이 말해줘서 알게된 나의 특징은 무엇이 있는지? A: 잠꼬대를 오지게 한다는 것. 고등학교 입학 후...,나의 덜떨어진 인생이야기,1일 전
유러피안챔피언십 2023 in Riesenbeck,"제대로 보고 싶으면 빨리 와서 의자를 차지하든가 vs 어쩔티비 시전. 뒷부분. 유튜브 영상. 1:30 쯤 잘 보면 내가 보인다. ㅋㅋㅋㅋㅋ. 여하지간 Carl Hester 가 이 말, Fame 이랑 호흡을 맞춘 건 6개월뿐이라고 한다. 칼 헤스터 등장하고부터 이자벨 바로 2등으로 밀렸다....",Equitopia,1일 전
어쩔티비 시전한 아빠,초딩딸에게 어쩔티비 시전한 아빠 ㅋㅋㅋ,웃으면서 살아남기,1일 전
징시의 후쿠오카 기타큐슈 여행기 2탄,확실히 밤이 더 이쁘군 아 근데 바람 불면 샤워 삽가능ㅋ 시원~혀 어쩔티비 비 오지만 그냥 맞아버리는 나 야! 비! 당장 그쳐 뚝! 야! 비! 당근 후추 통! 사람 모여있길래 찍어봄 나오미..?누구더라..암튼 인기 많으시네여 여러분 일본 가면 인형 뽑기 하세요 대 존 잼 열심히...,안녕 난 지은시 ʚ˘◡˘ɞ,1일 전
23 11 25,목요일부터 학교를 못 갔는데 시험 어쩔티비... 어우 갑자기 귀에서 환청이 막 들리네요 학교도 안 가니까 집에서 공부나 하면 되니 개꿀이란 말을 많이 들었는데 그럴리가요 아파서 죽을 뻔 했는데 하... 어쩌죠 제 인생 그냥 포기 하겠습니다. 그리고 저 일반고 가기로...,Sensory Moon,1일 전
