제목,내용,게시자,게시날짜
11월넷째주~,아무런 접점이 없어서 작업때문에 만난거라고 생각 해봐도 이상함 도영군이 밴드음악을 엄청 좋아하신대 암튼 어제 콘서트에 갔다고 진짜 하현상x부승관 다음으로 이상한 친분인데요이거 ... 도영군 사진에 조그맣게 소리질뤄라고 적어둔거 졸라귀엽다 짤로쓰고싶다...,떨어지는 지난밤 별 하나가,1일 전
필라테스 지도자 마지막 관문 crs 수료,"했는데 ,,, 이왜진 ?? 진짜로 교통사고가 난거있죠 ??;;;; 그치만 나는 의지의 한국인 ,, 병원 입원중에도 숙제를 해냅니다 ... 수업은 못갔찌만 평상시 출석을 다 해두어서 다행히 수료와 자격시험 커트라인을 넘길 수 있었고 동기쌤들이 영상을 다 찍어서 클래스팅에...",트루리뷰 :),1일 전
#다음은우리야06!,실감이 안 났다………이왜진….. 아~따 추버라 너무 추워서 곧 있으면 인간도 공룡처럼 멸종할 듯 일 년 중 추워지기 시작할 때는 뭔가 싱숭생숭하다 이제 더 이상 바뀔 계절도 없고 따뜻해지면 난 열아홉 고3일 거고…. 으악~~~ 한 번도 내가 수험생이라고 생각해 본 적이...,come as you are,1일 전
뮤지컬<비스티> | 정오의 햇살보다 눈부신 그대여,"이왜진?????? 내가 제일 사랑했던 주노가 23년에는 재현이라니... 저는 이재현 악갠데요 20년도에는 종구+규원, 동화+규원만 봤는데 큰일이... 진짜 이왜진???? 우리 비스티 이정도 아닙니다... 와중에 서연언니가 농구 챔결 보러가자해서 이러고 티팅함 이랬는데 동화재현...",놀러와요 몽환의 숲,1일 전
완성!!!!!,우해해해해 이거 먕 얼굴부터 무지성으로 했는데 딱 맞음 이왜진,좀비 고등학교 모바일,1일 전
바둑이 개큰지각,나 혼자 양요섭이 코난이래요 하면서 좋아하고 있었는데 이왜진 양요섭이 말아주는 코난 코스프레 진짜 미치겠네 게다가 이 코난 역할을 양요섭이 PICK!했댄다 ㄷㄷ 근데 이 날 콘서트를 보는 것 말고도 할 일이 있었으니.. 다큐봉 소품다큐 촬영하기 ㅎㅎ 솔직히 말해서 이 날...,아무렇게나 사는 대2,1일 전
지호의 가을,죠: 웅 옐: 이왜진 생일 당일은 사랑하는 가족들이랑 보냈다❤️ 이번엔 지갑 잃어버리지 말구 제에발 잘 쓰자 .. (다짐) 1025 옐돌정이랑（╹◡╹） 생파는 따로 하기루 했어서 생각도 못했는데 옐돌정이가 이렇게 케이크를 진짜 얘네없이 몬산다 나는 ㄴ 안괜찮아요 그래도...,Oct.,1일 전
서울 태양의 서커스 루치아ㅣ200구역 시야 꿀팁 포토존 먹거리 사진촬영가능(스압),정말 이왜진을 외치게 만드는 공연 서울 태양의 서커스 루치아 공연 왜 이게 사람이 할 수 있는 거였다고..? 점점 높이 올라가서 중심을 잡는 배우 여기서 더..? 한 번 더 한다고..?를 외치게 만드는.. 서울 태양의 서커스 루치아 공연 회전 무대에 두 개의 스윙이 설치되어...,노는 게 체질인 편,1일 전
['23년 8월] start of new journeyy,어떻게 리액션을 해야하는지 너무 몰랐던 그런 시기 ㅠㅋㅋㅋㅋ 이제 그래도 확실히 좀 시간 지났다고 저 때 느꼈던 그런 어색함은 다 사라진 것 같다 얏호 ~ 엥 갑자기 머리 자르러 옴 ? 그 다음주 졸업식 전에 옆머리 자르러 간 거였는데 생각해보니까 전반적인 머리...,altar,1일 전
Young's Theme 13,기숙사에서 뚱녀파티함 마이타 이런노래도 듣고 저런노래도 듣고 (멘트출처: 지원) 이왜진 MZ식 점심식사 루트 근데 이날 유독 마라탕이 존맛이었음 좋아요. 영상통화 처음함 처음하고 한 행동: 기숙사 뷰 자랑 기상! . . #minecraft #minecraftchallenge 얼죽아 너 큐브 안살거니...,새 이름은 Laughter,1일 전
저챗,이리단 노래자랑 개최통보 개 얼빡리오 오차즈케(?) 소매넣기 일본경력 10년뒤 리오넴은 대기업이 되있을까? 반달돌칼 이왜진 그리고 가지 고오급진 영어,이리오너라 :: 스트리머 이리오 팬카페,1일 전
가장 예쁜 꽃은 우여곡절 끝에 피는 꽃,"ㅠ 징동전 우승 후 구마유시 다큐 제목 ㅋㅋ 이왜진 ㄷㄷ 일단 전 유니폼도 입고 응원했더요 ㅎㅔ헷!! 산타탕후루먹음 마쉬멜로 생각보다 맛있고 방토는 내 스타일 아님 제가 탑요네를 시작했다는걸아십니까. 나, 재능있을지 몰라 ㅋㅋ 그리고 연습할려고 부계로 탑요네...",⋅˚₊‧ ୨୧ ‧₊˚ ⋅,1일 전
11/25 오프스텔라 패션쇼 방송후기,이왜진? 멤버들에게 입혀보고 싶은 패션 멘헤라 히나 너무 잘 어울려요 힙쟁이 마쉬로 (잘그림) 개그포인트 너무 잘 잡았던 ㅋㅋㅋㅋㅋ 달란트헌터 리초딩 기대를 저버리지 않은 리제의 타비 메이크오버까지~ 자체투표로 우승하게 된 타비 다같이 능능한 표정~ 0_< 역시 2기생...,스텔라이브,1일 전
텔크시 이왜진 ㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,린지상정 :: 이플린 팬카페,1일 전
2023 한국시리즈 5차전(11/13) 3루 외야: LG트윈스 통합 우승!!!!!!!!!!! 직관 후기(feat. 박해민의 미친...,겨울야구 이왜진? 태어나서 처음으로 넥워머를 내돈내산하고 쓰고 있었어요 나 저날 목폴라-긴팔-유니폼-유광점퍼-두르는 담요-넥워머-무릎담요-핫팩-장갑이었는데도 넘 추웠음.. 경기 시작 전에 뽈뽈뽈 돌아다닐 땐 딱히 안 추웠는데 경기 시작하고 앉아있으니까 바로...,손을 놓지 않는 한 우린,1일 전
개뜬금없는 기습숭배 ㅋㅋㅋㅋㅋㅋㅋㅋ,이왜진,연리의 압력밥솥,1일 전
별 수 있어~?,"꿀꿀꿀 이왜진? 돼지 산책 중이던데 꿀꿀거려서 귀여웠던 ㅋㅋㅋㅋ 즐거운 여행 후 네일 바꿨는네 너무 맘에 들어어 블랙은 언제나 옳지 올치 네일샵 정착한지 오년 됐나? 더 됐나,, 여기 말건 이제 못 가,, 케어도 잘하시고 일단 네일 두꺼운 거 딱 싫어하는데 얇고 꼼꼼하게...",사부작 사부작,1일 전
