제목,내용,게시자,게시날짜
73 dmdkr,폭룡적인 맛. 새콤달콤하고…향긋하고… 집 오자마자 빡빡 씻고 잤어요. 예쁘다 이불 속에 고여졌어요. 비척비척 일어나서 국수…(해썹에서 준 거) 멸치칼국수 스프에 소면 삶아먹는 맛입니다. 너무 넘쳐서 끓이기 힘들어요. 먹고 바로 기절잠… 출근 시간에 일어났어요....,쭈왑!,1일 전
"[유럽/프라하여행] Day1~2, over the rainbow",올라가는 길이 좀 많이 무서웠으나 조명을 하나 둘 켜기 시작하니 ㅁㅊ 한국에선 볼 수 없는 폭룡적 코코아마쉬멜로 감성의 작은 다락이... 밥 먹으러 가는 길도 폭룡적으로 아름다움. 재영쓰 친구가 추천해줬다는 '후사'라는 레스토랑에 도착! 다행이 웨이팅은 없었다. 음.......,뚜벅's,1일 전
0025.원투일레븜,하 ••• 1시부터 11시까지 폭룡적실기할 계획. 날씨좃타. 그러나 나는 개멋진정기공연도보러못가고 권복숭만들러 ••• (x) 실기하러 ••• (o) 중간과정.. 하면서 배고파서 초콜릿 까먹고 어떤여자가 준 약과 두개나 까먹고 또 다른 여자가 컵누들줘서 야무지게머것듬....,헐.,1일 전
그대들은 어떻게 아이돌리쉬세븐 할것인가,사진을 또 찍음 아 개웃기네 진짜 쥬진쟘린 모임 가는길 빼빼로를 사봤어요 아니 오마카세 갔는데 왕새우튀김을 일본어로 완세우텐푸라 이지랄 ㅅㅂ ㅠ 잘못본줄 지예와 저의 생일파티를 했어요 그리고 보겜카. 또 하고싶당 또 가자 위아더오타쿠 정원이가 자꾸...,ワンダー,1일 전
평화로웠던 시월,^v^ ㅈㅅㅎㄴㄷ 또 우리오빠 지나가요 폭룡적으로 섹시한데; 그와중에 저만치 보이는 속눈섭이 미첫음 프라다야 냉큼 안 모셔가고 머하냐 나린이가 쏘는 투썸 음료 내가 티켓팅 도와주는 날이었기 때문 우리집안엔 빠순이 유전자가 흐르는 게 틀림없다.. 정각 되자마자...,wonne wony,1일 전
[용인보정/죽전소바맛집] 삼동소바,폭룡적인 비주얼 .. 이제 이 탱글한 소바면을 소바육수에 한덩이씩 담궈서 먹어줍니당 진짜 맛없없입니다 .. 면도 탱글쫄깃 맛있고 육수가 기가막혀 육수가 기가막혀 돈까스도 겉바속촉 그자체. 여기 튀김맛집인가요? 돈까스소스+와사비 올려먹으면 kijul. 매콤한게...,낭콩일지 : Daily diary,1일 전
231125 연극 엘송❄️ | 작씨들 관극 후기,"웨딩 드레스 입고 나왔을 때 숨 멎을 뻔 폭룡적 아름다움,,, 초연 때 인터뷰에서 최유하 배우님이 다른 자매들은 정의할 수 있는 형용사가 분명하게 존재하는 캐릭터라면 메그는 가장 입체적인 인물이라고 하셨는데 정말 그 말에 공감한다. 메그는 뭐랄까 동생들도 잘...",학,1일 전
"OPEN YY (더오픈프로덕트) :: ALPACA CROPPED JACKET, BEIGE _ 나 이거 너무 예뻐서 소개하려는데...",플래시 터트렸어요 폭룡적으로 핏이 예쁜 착용샷 완전 크롭인데 뭔가 아방하니 그렇다고해서 부해보이는 것도 아니고 진짜 예쁜데... 보풀 잘 안 일어날 거 같은 알파카st 재질이에요 무엇보다도 봄웜인 저에게 잘 어울리는 베이지 자켓이에여! #내돈내산...,ʚ Leciel BLOG ɞ,1일 전
그대들은 어떻게 살 것인가,가 좀 징그럽고 뚱남이여서 싫었다 이해안되는부분도 많고 폭룡적재밋음은 아니얏가 하지만 지브리 그림채로 신작을 보는 거 자체가 나에겐 꽤 힐링이엿다 지브리라는 이유로 영화는 가치를 다 햇다 재미⭐️⭐️ 감동⭐️ 이해안됨⭐️⭐️⭐️⭐️⭐️⭐️ 추억...,ఇ,1일 전
서울의 봄,국방부장관인가 걔가 ㅈㄴ 폭룡적 빌런 무식최강자이다 역시 탈모걸린사람은나쁜거갘다 특전 받아오는 걸 까먹엇다 엣쿵 재미⭐️⭐️⭐️ 얼굴⭐️⭐️⭐️⭐️ 감동⭐️⭐️ 몰입⭐️⭐️ 짜증⭐️⭐️⭐️ 과몰입⭐️ 한국영화치곤 ㄱㅊ다 명작까진 아니다 보는...,ఇ,1일 전
