"""그잡채""","""그잡채""","""캘박""","""캘박""","""완내스""","""완내스""","""점메추""","""점메추""","""스불재""","""스불재""","""내또출""","""내또출"""
연/월,"""그잡채""_빈도수",연/월,"""캘박""_빈도수",연/월,"""완내스""_빈도수",연/월,"""점메추""_빈도수",연/월,"""스불재""_빈도수",연/월,"""내또출""_빈도수"
Oct-23,150,Oct-23,107,Oct-23,117,Oct-23,150,Oct-23,150,Oct-23,9
Sep-23,150,Sep-23,110,Sep-23,117,Sep-23,150,Sep-23,150,Sep-23,8
Aug-23,150,Aug-23,108,Aug-23,109,Aug-23,150,Aug-23,150,Aug-23,13
Jul-23,150,Jul-23,105,Jul-23,104,Jul-23,150,Jul-23,150,Jul-23,7
Jun-23,150,Jun-23,94,Jun-23,109,Jun-23,150,Jun-23,150,Jun-23,16
May-23,150,May-23,107,May-23,114,May-23,150,May-23,150,May-23,8
Apr-23,150,Apr-23,95,Apr-23,120,Apr-23,150,Apr-23,150,Apr-23,12
Mar-23,150,Mar-23,95,Mar-23,116,Mar-23,150,Mar-23,150,Mar-23,15
Feb-23,150,Feb-23,88,Feb-23,142,Feb-23,150,Feb-23,150,Feb-23,15
Jan-23,150,Jan-23,89,Jan-23,116,Jan-23,150,Jan-23,150,Jan-23,18
Dec-22,150,Dec-22,108,Dec-22,104,Dec-22,150,Dec-22,150,Dec-22,6
Nov-22,150,Nov-22,98,Nov-22,119,Nov-22,150,Nov-22,150,Nov-22,8
Oct-22,150,Oct-22,99,Oct-22,107,Oct-22,150,Oct-22,150,Oct-22,15
Sep-22,150,Sep-22,77,Sep-22,110,Sep-22,150,Sep-22,150,Sep-22,23
Aug-22,150,Aug-22,105,Aug-22,109,Aug-22,150,Aug-22,150,Aug-22,19
Jul-22,150,Jul-22,79,Jul-22,107,Jul-22,150,Jul-22,150,Jul-22,24
Jun-22,122,Jun-22,72,Jun-22,105,Jun-22,150,Jun-22,150,Jun-22,13
May-22,106,May-22,59,May-22,107,May-22,150,May-22,150,May-22,11
Apr-22,107,Apr-22,49,Apr-22,112,Apr-22,150,Apr-22,150,Apr-22,15
Mar-22,86,Mar-22,75,Mar-22,107,Mar-22,150,Mar-22,150,Mar-22,17
Feb-22,67,Feb-22,33,Feb-22,110,Feb-22,150,Feb-22,150,Feb-22,22
Jan-22,56,Jan-22,49,Jan-22,108,Jan-22,150,Jan-22,150,Jan-22,18
Dec-21,46,Dec-21,41,Dec-21,108,Dec-21,150,Dec-21,150,Dec-21,17
Nov-21,37,Nov-21,16,Nov-21,114,Nov-21,150,Nov-21,150,Nov-21,22
Oct-21,21,Oct-21,6,Oct-21,102,Oct-21,150,Oct-21,150,Oct-21,16
Sep-21,17,Sep-21,12,Sep-21,99,Sep-21,96,Sep-21,150,Sep-21,18
Aug-21,19,Aug-21,8,Aug-21,92,Aug-21,69,Aug-21,150,Aug-21,13
Jul-21,8,Jul-21,11,Jul-21,86,Jul-21,68,Jul-21,150,Jul-21,15
Jun-21,16,Jun-21,11,Jun-21,108,Jun-21,60,Jun-21,150,Jun-21,22
May-21,16,May-21,12,May-21,100,May-21,80,May-21,150,May-21,36
Apr-21,8,Apr-21,7,Apr-21,101,Apr-21,40,Apr-21,148,Apr-21,14
Mar-21,6,Mar-21,10,Mar-21,77,Mar-21,30,Mar-21,150,Mar-21,22
Feb-21,3,Feb-21,3,Feb-21,65,Feb-21,17,Feb-21,150,Feb-21,21
Jan-21,2,Jan-21,2,Jan-21,49,Jan-21,13,Jan-21,150,Jan-21,14
Dec-20,1,Dec-20,2,Dec-20,24,Dec-20,6,Dec-20,127,Dec-20,13
Nov-20,4,Nov-20,1,Nov-20,36,Nov-20,13,Nov-20,103,Nov-20,18
Oct-20,6,Oct-20,4,Oct-20,12,Oct-20,9,Oct-20,87,Oct-20,16
Sep-20,9,Sep-20,1,Sep-20,7,Sep-20,7,Sep-20,91,Sep-20,21
Aug-20,3,Aug-20,1,Aug-20,5,Aug-20,9,Aug-20,88,Aug-20,21
Jul-20,4,Jul-20,2,Jul-20,5,Jul-20,6,Jul-20,84,Jul-20,18
Jun-20,4,Jun-20,2,Jun-20,11,Jun-20,5,Jun-20,75,Jun-20,16
May-20,2,May-20,0,May-20,9,May-20,12,May-20,87,May-20,8
Apr-20,3,,,Apr-20,9,Apr-20,4,Apr-20,70,Apr-20,8
Mar-20,3,,,Mar-20,8,Mar-20,5,Mar-20,83,Mar-20,9
Feb-20,5,,,Feb-20,4,Feb-20,2,Feb-20,64,Feb-20,6
Jan-20,3,,,Jan-20,1,Jan-20,6,Jan-20,58,Jan-20,1
Dec-19,3,,,Dec-19,1,Dec-19,2,Dec-19,51,Dec-19,5
Nov-19,4,,,Nov-19,3,Nov-19,2,Nov-19,31,Nov-19,2
Oct-19,0,,,Oct-19,2,Oct-19,1,Oct-19,30,Oct-19,5
,,,,Sep-19,2,Sep-19,3,Sep-19,29,Sep-19,4
,,,,Aug-19,0,Aug-19,4,Aug-19,22,Aug-19,6
,,,,,,Jul-19,5,Jul-19,23,Jul-19,0
,,,,,,Jun-19,3,Jun-19,11,,
,,,,,,May-19,1,May-19,11,,
,,,,,,Apr-19,0,Apr-19,11,,
,,,,,,,,Mar-19,10,,
,,,,,,,,Feb-19,10,,
,,,,,,,,Jan-19,4,,
,,,,,,,,Dec-18,2,,
,,,,,,,,Nov-18,4,,
,,,,,,,,Oct-18,0,,
