"""개같이""","""개같이""","""갬성""","""갬성""","""현타""","""현타""","""슬세권""","""슬세권"""
연/월,"""개같이""_빈도수",연/월,"""갬성""_빈도수",연/월,"""현타""_빈도수",연/월,"""슬세권""_빈도수"
Oct-23,150,Oct-23,150,Oct-23,150,Oct-23,150
Sep-23,150,Sep-23,150,Sep-23,150,Sep-23,150
Aug-23,150,Aug-23,150,Aug-23,150,Aug-23,150
Jul-23,150,Jul-23,150,Jul-23,150,Jul-23,150
Jun-23,150,Jun-23,150,Jun-23,150,Jun-23,150
May-23,150,May-23,150,May-23,150,May-23,150
Apr-23,150,Apr-23,150,Apr-23,150,Apr-23,150
Mar-23,150,Mar-23,150,Mar-23,150,Mar-23,150
Feb-23,150,Feb-23,150,Feb-23,150,Feb-23,150
Jan-23,150,Jan-23,150,Jan-23,150,Jan-23,150
Dec-22,150,Dec-22,150,Dec-22,150,Dec-22,150
Nov-22,150,Nov-22,150,Nov-22,150,Nov-22,150
Oct-22,150,Oct-22,150,Oct-22,150,Oct-22,150
Sep-22,150,Sep-22,150,Sep-22,150,Sep-22,150
Aug-22,150,Aug-22,150,Aug-22,150,Aug-22,150
Jul-22,150,Jul-22,150,Jul-22,150,Jul-22,150
Jun-22,150,Jun-22,150,Jun-22,150,Jun-22,150
May-22,150,May-22,150,May-22,150,May-22,150
Apr-22,150,Apr-22,150,Apr-22,150,Apr-22,150
Mar-22,150,Mar-22,150,Mar-22,150,Mar-22,150
Feb-22,150,Feb-22,150,Feb-22,150,Feb-22,150
Jan-22,150,Jan-22,150,Jan-22,150,Jan-22,150
Dec-21,150,Dec-21,150,Dec-21,150,Dec-21,150
Nov-21,150,Nov-21,150,Nov-21,150,Nov-21,150
Oct-21,150,Oct-21,150,Oct-21,150,Oct-21,150
Sep-21,150,Sep-21,150,Sep-21,150,Sep-21,150
Aug-21,150,Aug-21,150,Aug-21,150,Aug-21,150
Jul-21,150,Jul-21,150,Jul-21,150,Jul-21,150
Jun-21,150,Jun-21,150,Jun-21,150,Jun-21,150
May-21,150,May-21,150,May-21,150,May-21,150
Apr-21,150,Apr-21,150,Apr-21,150,Apr-21,150
Mar-21,150,Mar-21,150,Mar-21,150,Mar-21,150
Feb-21,150,Feb-21,150,Feb-21,150,Feb-21,150
Jan-21,150,Jan-21,150,Jan-21,150,Jan-21,150
Dec-20,150,Dec-20,150,Dec-20,150,Dec-20,150
Nov-20,150,Nov-20,150,Nov-20,150,Nov-20,150
Oct-20,150,Oct-20,150,Oct-20,150,Oct-20,150
Sep-20,150,Sep-20,150,Sep-20,150,Sep-20,150
Aug-20,150,Aug-20,150,Aug-20,150,Aug-20,150
Jul-20,150,Jul-20,150,Jul-20,150,Jul-20,150
Jun-20,150,Jun-20,150,Jun-20,150,Jun-20,150
May-20,150,May-20,150,May-20,150,May-20,150
Apr-20,150,Apr-20,150,Apr-20,150,Apr-20,150
Mar-20,150,Mar-20,150,Mar-20,150,Mar-20,150
Feb-20,150,Feb-20,150,Feb-20,150,Feb-20,150
Jan-20,150,Jan-20,150,Jan-20,150,Jan-20,150
Dec-19,150,Dec-19,150,Dec-19,150,Dec-19,150
Nov-19,150,Nov-19,150,Nov-19,150,Nov-19,150
Oct-19,150,Oct-19,150,Oct-19,150,Oct-19,114
Sep-19,150,Sep-19,150,Sep-19,150,Sep-19,124
Aug-19,150,Aug-19,150,Aug-19,150,Aug-19,48
Jul-19,150,Jul-19,150,Jul-19,150,Jul-19,33
Jun-19,150,Jun-19,150,Jun-19,150,Jun-19,27
May-19,150,May-19,150,May-19,150,May-19,38
Apr-19,150,Apr-19,150,Apr-19,150,Apr-19,10
Mar-19,150,Mar-19,150,Mar-19,150,Mar-19,25
Feb-19,150,Feb-19,150,Feb-19,150,Feb-19,21
Jan-19,150,Jan-19,150,Jan-19,150,Jan-19,9
Dec-18,150,Dec-18,150,Dec-18,150,Dec-18,17
Nov-18,150,Nov-18,150,Nov-18,150,Nov-18,25
Oct-18,150,Oct-18,150,Oct-18,150,Oct-18,12
Sep-18,150,Sep-18,150,Sep-18,150,Sep-18,8
Aug-18,150,Aug-18,150,Aug-18,150,Aug-18,18
Jul-18,150,Jul-18,150,Jul-18,150,Jul-18,6
Jun-18,150,Jun-18,150,Jun-18,150,Jun-18,12
May-18,150,May-18,150,May-18,150,May-18,4
Apr-18,150,Apr-18,150,Apr-18,150,Apr-18,8
Mar-18,150,Mar-18,150,Mar-18,150,Mar-18,4
Feb-18,150,Feb-18,150,Feb-18,150,Feb-18,1
Jan-18,150,Jan-18,150,Jan-18,150,Jan-18,2
Dec-17,150,Dec-17,150,Dec-17,150,Dec-17,2
Nov-17,150,Nov-17,150,Nov-17,150,Nov-17,4
Oct-17,150,Oct-17,150,Oct-17,150,Oct-17,4
Sep-17,150,Sep-17,150,Sep-17,150,Sep-17,4
Aug-17,150,Aug-17,150,Aug-17,150,Aug-17,1
Jul-17,150,Jul-17,150,Jul-17,150,Jul-17,2
Jun-17,150,Jun-17,150,Jun-17,150,Jun-17,2
May-17,150,May-17,141,May-17,150,May-17,4
Apr-17,150,Apr-17,126,Apr-17,150,Apr-17,5
Mar-17,150,Mar-17,124,Mar-17,150,Mar-17,8
Feb-17,150,Feb-17,125,Feb-17,150,Feb-17,0
Jan-17,150,Jan-17,111,Jan-17,150,,
Dec-16,150,Dec-16,111,Dec-16,150,,
Nov-16,150,Nov-16,106,Nov-16,150,,
Oct-16,150,Oct-16,118,Oct-16,150,,
Sep-16,150,Sep-16,105,Sep-16,150,,
Aug-16,150,Aug-16,102,Aug-16,150,,
Jul-16,150,Jul-16,102,Jul-16,150,,
Jun-16,150,Jun-16,60,Jun-16,150,,
May-16,150,May-16,54,May-16,150,,
Apr-16,150,Apr-16,44,Apr-16,150,,
Mar-16,150,Mar-16,48,Mar-16,150,,
Feb-16,150,Feb-16,32,Feb-16,150,,
Jan-16,150,Jan-16,46,Jan-16,150,,
Dec-15,150,Dec-15,21,Dec-15,150,,
Nov-15,150,Nov-15,12,Nov-15,150,,
Oct-15,150,Oct-15,11,Oct-15,150,,
Sep-15,150,Sep-15,25,Sep-15,150,,
Aug-15,150,Aug-15,11,Aug-15,150,,
Jul-15,150,Jul-15,11,Jul-15,150,,
Jun-15,150,Jun-15,4,Jun-15,150,,
May-15,150,May-15,17,May-15,150,,
Apr-15,150,Apr-15,9,Apr-15,150,,
Mar-15,150,Mar-15,9,Mar-15,150,,
Feb-15,150,Feb-15,11,Feb-15,150,,
Jan-15,150,Jan-15,6,Jan-15,150,,
