"""웃안웃""","""웃안웃""","""이생망""","""이생망""","""중꺾마""","""중꺾마""","""오운완""","""오운완""","""이왜진""","""이왜진""","""알잘딱깔센""","""알잘딱깔센""","""ㄹㄱㅎㅃ""","""ㄹㄱㅎㅃ"""
연/월,"""웃안웃""_빈도수",연/월,"""이생망""_빈도수",연/월,"""중꺾마""_빈도수",연/월,"""오운완""_빈도수",연/월,"""이왜진""_빈도수",연/월,"""알잘딱깔센""_빈도수",연/월,"""ㄹㄱㅎㅃ""_빈도수"
2023-10,89,2023-10,150,2023-10,150,2023-10,150,2023-10,150,2023-10,150,2023-10,84
2023-09,103,2023-09,145,2023-09,150,2023-09,150,2023-09,150,2023-09,150,2023-09,75
2023-08,106,2023-08,140,2023-08,150,2023-08,150,2023-08,150,2023-08,150,2023-08,101
2023-07,96,2023-07,149,2023-07,150,2023-07,150,2023-07,150,2023-07,150,2023-07,94
2023-06,102,2023-06,150,2023-06,150,2023-06,150,2023-06,150,2023-06,150,2023-06,68
2023-05,96,2023-05,150,2023-05,150,2023-05,150,2023-05,150,2023-05,150,2023-05,100
2023-04,95,2023-04,145,2023-04,150,2023-04,150,2023-04,150,2023-04,150,2023-04,105
2023-03,76,2023-03,149,2023-03,150,2023-03,150,2023-03,150,2023-03,150,2023-03,73
2023-02,88,2023-02,150,2023-02,150,2023-02,150,2023-02,150,2023-02,150,2023-02,74
2023-01,97,2023-01,150,2023-01,150,2023-01,150,2023-01,150,2023-01,150,2023-01,99
2022-12,108,2022-12,149,2022-12,150,2022-12,150,2022-12,150,2022-12,150,2022-12,91
2022-11,103,2022-11,146,2022-11,130,2022-11,150,2022-11,150,2022-11,150,2022-11,69
2022-10,103,2022-10,144,2022-10,2,2022-10,150,2022-10,150,2022-10,150,2022-10,88
2022-09,103,2022-09,148,2022-09,1,2022-09,150,2022-09,150,2022-09,150,2022-09,67
2022-08,104,2022-08,150,2022-08,3,2022-08,150,2022-08,150,2022-08,150,2022-08,105
2022-07,102,2022-07,140,2022-07,1,2022-07,150,2022-07,150,2022-07,150,2022-07,96
2022-06,100,2022-06,150,2022-06,1,2022-06,150,2022-06,150,2022-06,150,2022-06,73
2022-05,103,2022-05,150,2022-05,0,2022-05,150,2022-05,150,2022-05,150,2022-05,74
2022-04,102,2022-04,150,,,2022-04,150,2022-04,150,2022-04,150,2022-04,62
2022-03,108,2022-03,150,,,2022-03,150,2022-03,150,2022-03,150,2022-03,38
2022-02,107,2022-02,146,,,2022-02,150,2022-02,150,2022-02,150,2022-02,44
2022-01,79,2022-01,150,,,2022-01,150,2022-01,150,2022-01,150,2022-01,43
2021-12,87,2021-12,141,,,2021-12,150,2021-12,150,2021-12,150,2021-12,19
2021-11,71,2021-11,129,,,2021-11,150,2021-11,150,2021-11,150,2021-11,10
2021-10,55,2021-10,141,,,2021-10,98,2021-10,150,2021-10,150,2021-10,8
2021-09,61,2021-09,146,,,2021-09,33,2021-09,150,2021-09,150,2021-09,9
2021-08,57,2021-08,150,,,2021-08,30,2021-08,150,2021-08,143,2021-08,6
2021-07,47,2021-07,150,,,2021-07,27,2021-07,150,2021-07,138,2021-07,7
2021-06,65,2021-06,150,,,2021-06,21,2021-06,150,2021-06,150,2021-06,2
2021-05,101,2021-05,150,,,2021-05,21,2021-05,150,2021-05,136,2021-05,0
2021-04,37,2021-04,147,,,2021-04,10,2021-04,146,2021-04,105,,
2021-03,44,2021-03,150,,,2021-03,5,2021-03,121,2021-03,114,,
2021-02,30,2021-02,150,,,2021-02,6,2021-02,128,2021-02,133,,
2021-01,32,2021-01,150,,,2021-01,7,2021-01,128,2021-01,131,,
2020-12,27,2020-12,150,,,2020-12,12,2020-12,133,2020-12,150,,
2020-11,12,2020-11,125,,,2020-11,15,2020-11,100,2020-11,150,,
2020-10,7,2020-10,150,,,2020-10,6,2020-10,122,2020-10,150,,
2020-09,13,2020-09,129,,,2020-09,10,2020-09,87,2020-09,128,,
2020-08,5,2020-08,150,,,2020-08,5,2020-08,85,2020-08,141,,
2020-07,6,2020-07,143,,,2020-07,4,2020-07,79,2020-07,150,,
2020-06,8,2020-06,80,,,2020-06,1,2020-06,76,2020-06,91,,
2020-05,7,2020-05,88,,,2020-05,2,2020-05,66,2020-05,83,,
2020-04,2,2020-04,90,,,2020-04,2,2020-04,56,2020-04,74,,
2020-03,1,2020-03,94,,,2020-03,10,2020-03,33,2020-03,86,,
2020-02,1,2020-02,100,,,2020-02,13,2020-02,5,2020-02,61,,
2020-01,0,2020-01,88,,,2020-01,3,2020-01,6,2020-01,52,,
,,2019-12,110,,,2019-12,6,2019-12,3,2019-12,51,,
,,2019-11,101,,,2019-11,3,2019-11,6,2019-11,51,,
,,2019-10,80,,,2019-10,2,2019-10,2,2019-10,34,,
,,2019-09,96,,,2019-09,0,2019-09,0,2019-09,50,,
,,2019-08,94,,,,,,,2019-08,44,,
,,2019-07,105,,,,,,,2019-07,50,,
,,2019-06,105,,,,,,,2019-06,30,,
,,2019-05,96,,,,,,,2019-05,24,,
,,2019-04,106,,,,,,,2019-04,20,,
,,2019-03,83,,,,,,,2019-03,32,,
,,2019-02,86,,,,,,,2019-02,40,,
,,2019-01,102,,,,,,,2019-01,37,,
,,2018-12,95,,,,,,,2018-12,47,,
,,2018-11,99,,,,,,,2018-11,52,,
,,2018-10,121,,,,,,,2018-10,54,,
,,2018-09,85,,,,,,,2018-09,52,,
,,2018-08,57,,,,,,,2018-08,56,,
,,2018-07,65,,,,,,,2018-07,23,,
,,2018-06,50,,,,,,,2018-06,0,,
,,2018-05,49,,,,,,,,,,
,,2018-04,60,,,,,,,,,,
,,2018-03,68,,,,,,,,,,
,,2018-02,40,,,,,,,,,,
,,2018-01,43,,,,,,,,,,
,,2017-12,49,,,,,,,,,,
,,2017-11,28,,,,,,,,,,
,,2017-10,51,,,,,,,,,,
,,2017-09,60,,,,,,,,,,
,,2017-08,64,,,,,,,,,,
,,2017-07,47,,,,,,,,,,
,,2017-06,39,,,,,,,,,,
,,2017-05,36,,,,,,,,,,
,,2017-04,48,,,,,,,,,,
,,2017-03,62,,,,,,,,,,
,,2017-02,64,,,,,,,,,,
,,2017-01,21,,,,,,,,,,
,,2016-12,13,,,,,,,,,,
,,2016-11,17,,,,,,,,,,
,,2016-10,19,,,,,,,,,,
,,2016-09,16,,,,,,,,,,
,,2016-08,25,,,,,,,,,,
,,2016-07,11,,,,,,,,,,
,,2016-06,21,,,,,,,,,,
,,2016-05,21,,,,,,,,,,
,,2016-04,45,,,,,,,,,,
,,2016-03,37,,,,,,,,,,
,,2016-02,46,,,,,,,,,,
,,2016-01,86,,,,,,,,,,
,,2015-12,3,,,,,,,,,,
,,2015-11,0,,,,,,,,,,
