"""너 도도독""","""너 도도독""","""ㅋㅋㄹㅃㅃ""","""ㅋㅋㄹㅃㅃ""","""너 T야""","""너 T야""","""맑눈광""","""맑눈광""","""문신돼지국밥충""","""문신돼지국밥충"""
연/월,"""너 도도독""_빈도수",연/월,"""ㅋㅋㄹㅃㅃ""_빈도수",연/월,"""너 T야""_빈도수",연/월,"""맑눈광""_빈도수",연/월,"""문신돼지국밥충""_빈도수"
2023/07,0.0,2023/07,150,2023/07,150.0,2023/07,150.0,2023/07,15.0
2023/08,10.0,2023/08,150,2023/08,150.0,2023/08,150.0,2023/08,7.0
2023/09,9.0,2023/09,150,2023/09,150.0,2023/09,150.0,2023/09,9.0
2023/10,6.0,2023/10,150,2023/10,150.0,2023/10,150.0,2023/10,3.0
,,2020/01,0,,,,,,
,,2020/02,1,,,,,,
,,2020/03,4,,,,,,
,,2020/04,21,,,,,,
,,2020/05,52,,,,,,
,,2020/06,53,,,,,2020/06,0.0
,,2020/07,61,,,,,2020/07,1.0
,,2020/08,73,,,,,2020/08,1.0
,,2020/09,85,,,,,2020/09,3.0
,,2020/10,107,,,,,2020/10,7.0
,,2020/11,96,,,,,2020/11,1.0
,,2020/12,111,,,,,2020/12,2.0
,,2021/01,142,,,,,2021/01,2.0
,,2021/02,150,,,,,2021/02,2.0
,,2021/03,150,,,,,2021/03,4.0
,,2021/04,148,,,,,2021/04,3.0
,,2021/05,150,,,,,2021/05,2.0
,,2021/06,150,,,,,2021/06,3.0
,,2021/07,150,,,2021/07,0.0,2021/07,4.0
,,2021/08,150,,,2021/08,1.0,2021/08,3.0
,,2021/09,150,,,2021/09,3.0,2021/09,6.0
,,2021/10,150,,,2021/10,1.0,2021/10,17.0
,,2021/11,150,,,2021/11,1.0,2021/11,6.0
,,2021/12,150,,,2021/12,6.0,2021/12,4.0
,,2022/01,150,,,2022/01,4.0,2022/01,3.0
,,2022/02,150,,,2022/02,2.0,2022/02,4.0
,,2022/03,150,,,2022/03,4.0,2022/03,6.0
,,2022/04,150,2022/04,0.0,2022/04,2.0,2022/04,5.0
,,2022/05,150,2022/05,1.0,2022/05,2.0,2022/05,6.0
,,2022/06,150,2022/06,6.0,2022/06,3.0,2022/06,3.0
,,2022/07,150,2022/07,4.0,2022/07,11.0,2022/07,5.0
,,2022/08,150,2022/08,4.0,2022/08,36.0,2022/08,6.0
,,2022/09,150,2022/09,1.0,2022/09,68.0,2022/09,6.0
,,2022/10,150,2022/10,2.0,2022/10,69.0,2022/10,11.0
,,2022/11,150,2022/11,4.0,2022/11,94.0,2022/11,17.0
,,2022/12,150,2022/12,3.0,2022/12,114.0,2022/12,3.0
,,2023/01,150,2023/01,4.0,2023/01,150.0,2023/01,5.0
,,2023/02,150,2023/02,2.0,2023/02,150.0,2023/02,7.0
,,2023/03,150,2023/03,8.0,2023/03,150.0,2023/03,6.0
,,2023/04,150,2023/04,101.0,2023/04,150.0,2023/04,3.0
,,2023/05,150,2023/05,129.0,2023/05,150.0,2023/05,4.0
,,2023/06,150,2023/06,150.0,2023/06,150.0,2023/06,10.0
