"""어쩔티비""","""어쩔티비""","""오우예 씨몬""","""오우예 씨몬""","""우리가좍""","""우리가좍""","""존나껴""","""존나껴""","""폭룡적""","""폭룡적"""
연/월,"""어쩔티비""_빈도수",연/월,"""오우예 씨몬""_빈도수",연/월,"""우리가좍""_빈도수",연/월,"""존나껴""_빈도수",연/월,"""폭룡적""_빈도수"
2020/10,0.0,,,2020/10,93,,,,
2020/11,4.0,,,2020/11,78,,,,
2020/12,1.0,,,2020/12,103,,,,
2021/01,5.0,,,2021/01,104,,,,
2021/02,3.0,,,2021/02,100,,,,
2021/03,1.0,,,2021/03,108,,,,
2021/04,4.0,,,2021/04,103,,,,
2021/05,9.0,,,2021/05,108,,,,
2021/06,16.0,,,2021/06,104,,,,
2021/07,27.0,,,2021/07,109,,,,
2021/08,67.0,,,2021/08,106,,,,
2021/09,150.0,,,2021/09,104,,,,
2021/10,150.0,,,2021/10,107,,,2021/10,0.0
2021/11,150.0,,,2021/11,103,,,2021/11,1.0
2021/12,150.0,,,2021/12,103,,,2021/12,2.0
2022/01,150.0,,,2022/01,109,,,2022/01,3.0
2022/02,150.0,,,2022/02,111,,,2022/02,3.0
2022/03,150.0,,,2022/03,145,,,2022/03,7.0
2022/04,150.0,,,2022/04,146,,,2022/04,9.0
2022/05,150.0,,,2022/05,145,,,2022/05,2.0
2022/06,150.0,,,2022/06,128,,,2022/06,14.0
2022/07,150.0,,,2022/07,122,,,2022/07,13.0
2022/08,150.0,,,2022/08,112,,,2022/08,11.0
2022/09,150.0,,,2022/09,109,,,2022/09,12.0
2022/10,150.0,,,2022/10,107,,,2022/10,8.0
2022/11,150.0,,,2022/11,106,,,2022/11,8.0
2022/12,150.0,,,2022/12,104,2022/12,0.0,2022/12,8.0
2023/01,150.0,2023/01,0.0,2023/01,108,2023/01,4.0,2023/01,9.0
2023/02,150.0,2023/02,1.0,2023/02,109,2023/02,18.0,2023/02,13.0
2023/03,150.0,2023/03,10.0,2023/03,111,2023/03,33.0,2023/03,18.0
2023/04,150.0,2023/04,103.0,2023/04,107,2023/04,26.0,2023/04,26.0
2023/05,150.0,2023/05,112.0,2023/05,106,2023/05,36.0,2023/05,64.0
2023/06,150.0,2023/06,108.0,2023/06,107,2023/06,32.0,2023/06,103.0
2023/07,150.0,2023/07,112.0,2023/07,107,2023/07,57.0,2023/07,113.0
2023/08,150.0,2023/08,105.0,2023/08,105,2023/08,44.0,2023/08,149.0
2023/09,150.0,2023/09,110.0,2023/09,106,2023/09,55.0,2023/09,141.0
2023/10,150.0,2023/10,114.0,2023/10,109,2023/10,64.0,2023/10,150.0
,,,,2017/10,0,,,,
,,,,2017/11,2,,,,
,,,,2017/12,1,,,,
,,,,2018/01,6,,,,
,,,,2018/02,2,,,,
,,,,2018/03,4,,,,
,,,,2018/04,5,,,,
,,,,2018/05,1,,,,
,,,,2018/06,4,,,,
,,,,2018/07,7,,,,
,,,,2018/08,8,,,,
,,,,2018/09,9,,,,
,,,,2018/10,6,,,,
,,,,2018/11,4,,,,
,,,,2018/12,7,,,,
,,,,2019/01,16,,,,
,,,,2019/02,13,,,,
,,,,2019/03,13,,,,
,,,,2019/04,6,,,,
,,,,2019/05,16,,,,
,,,,2019/06,10,,,,
,,,,2019/07,23,,,,
,,,,2019/08,26,,,,
,,,,2019/09,17,,,,
,,,,2019/10,18,,,,
,,,,2019/11,18,,,,
,,,,2019/12,18,,,,
,,,,2020/01,28,,,,
,,,,2020/02,34,,,,
,,,,2020/03,42,,,,
,,,,2020/04,48,,,,
,,,,2020/05,52,,,,
,,,,2020/06,58,,,,
,,,,2020/07,61,,,,
,,,,2020/08,79,,,,
,,,,2020/09,52,,,,
