"""갑통알""","""갑통알""","""많관부""","""많관부""","""갓생""","""갓생""","""케바케""","""케바케""","""억까""","""억까"""
연/월,"""갑통알""_빈도수",연/월,"""많관부""_빈도수",연/월,"""갓생""_빈도수",연/월,"""케바케""_빈도수",연/월,"""억까""_빈도수"
2018/04,0.0,,,2018/04,12.0,2018/04,150,,
2018/05,4.0,,,2018/05,14.0,2018/05,150,,
2018/06,6.0,,,2018/06,15.0,2018/06,150,,
2018/07,3.0,2018/07,0.0,2018/07,12.0,2018/07,150,,
2018/08,3.0,2018/08,1.0,2018/08,16.0,2018/08,150,,
2018/09,12.0,2018/09,3.0,2018/09,13.0,2018/09,150,2018/09,0.0
2018/10,4.0,2018/10,3.0,2018/10,11.0,2018/10,150,2018/10,1.0
2018/11,5.0,2018/11,1.0,2018/11,12.0,2018/11,150,2018/11,4.0
2018/12,11.0,2018/12,2.0,2018/12,20.0,2018/12,150,2018/12,2.0
2019/01,21.0,2019/01,1.0,2019/01,12.0,2019/01,150,2019/01,3.0
2019/02,23.0,2019/02,4.0,2019/02,9.0,2019/02,150,2019/02,2.0
2019/03,13.0,2019/03,6.0,2019/03,14.0,2019/03,150,2019/03,2.0
2019/04,2.0,2019/04,3.0,2019/04,9.0,2019/04,150,2019/04,2.0
2019/05,4.0,2019/05,6.0,2019/05,11.0,2019/05,150,2019/05,7.0
2019/06,3.0,2019/06,4.0,2019/06,14.0,2019/06,150,2019/06,4.0
2019/07,9.0,2019/07,7.0,2019/07,23.0,2019/07,150,2019/07,2.0
2019/08,10.0,2019/08,6.0,2019/08,29.0,2019/08,150,2019/08,4.0
2019/09,3.0,2019/09,2.0,2019/09,11.0,2019/09,150,2019/09,10.0
2019/10,17.0,2019/10,2.0,2019/10,12.0,2019/10,150,2019/10,4.0
2019/11,9.0,2019/11,5.0,2019/11,14.0,2019/11,150,2019/11,32.0
2019/12,15.0,2019/12,1.0,2019/12,18.0,2019/12,150,2019/12,24.0
2020/01,9.0,2020/01,10.0,2020/01,23.0,2020/01,150,2020/01,29.0
2020/02,28.0,2020/02,12.0,2020/02,23.0,2020/02,150,2020/02,36.0
2020/03,28.0,2020/03,5.0,2020/03,16.0,2020/03,150,2020/03,15.0
2020/04,33.0,2020/04,10.0,2020/04,33.0,2020/04,150,2020/04,21.0
2020/05,45.0,2020/05,26.0,2020/05,37.0,2020/05,150,2020/05,43.0
2020/06,36.0,2020/06,100.0,2020/06,43.0,2020/06,150,2020/06,48.0
2020/07,43.0,2020/07,120.0,2020/07,72.0,2020/07,150,2020/07,48.0
2020/08,33.0,2020/08,115.0,2020/08,100.0,2020/08,150,2020/08,60.0
2020/09,41.0,2020/09,145.0,2020/09,124.0,2020/09,150,2020/09,55.0
2020/10,22.0,2020/10,150.0,2020/10,133.0,2020/10,150,2020/10,58.0
2020/11,40.0,2020/11,150.0,2020/11,133.0,2020/11,150,2020/11,61.0
2020/12,33.0,2020/12,150.0,2020/12,143.0,2020/12,150,2020/12,87.0
2021/01,78.0,2021/01,150.0,2021/01,150.0,2021/01,150,2021/01,60.0
2021/02,62.0,2021/02,150.0,2021/02,150.0,2021/02,150,2021/02,64.0
2021/03,44.0,2021/03,150.0,2021/03,150.0,2021/03,150,2021/03,74.0
2021/04,40.0,2021/04,150.0,2021/04,150.0,2021/04,150,2021/04,67.0
2021/05,42.0,2021/05,150.0,2021/05,150.0,2021/05,150,2021/05,79.0
2021/06,55.0,2021/06,150.0,2021/06,150.0,2021/06,150,2021/06,150.0
2021/07,32.0,2021/07,150.0,2021/07,150.0,2021/07,150,2021/07,119.0
2021/08,28.0,2021/08,150.0,2021/08,150.0,2021/08,150,2021/08,129.0
2021/09,28.0,2021/09,150.0,2021/09,150.0,2021/09,150,2021/09,132.0
2021/10,35.0,2021/10,150.0,2021/10,150.0,2021/10,150,2021/10,119.0
2021/11,22.0,2021/11,150.0,2021/11,150.0,2021/11,150,2021/11,143.0
2021/12,26.0,2021/12,150.0,2021/12,150.0,2021/12,150,2021/12,150.0
2022/01,28.0,2022/01,150.0,2022/01,150.0,2022/01,150,2022/01,150.0
2022/02,31.0,2022/02,150.0,2022/02,150.0,2022/02,150,2022/02,150.0
2022/03,30.0,2022/03,150.0,2022/03,150.0,2022/03,150,2022/03,150.0
2022/04,25.0,2022/04,150.0,2022/04,150.0,2022/04,150,2022/04,150.0
2022/05,20.0,2022/05,150.0,2022/05,150.0,2022/05,150,2022/05,150.0
2022/06,19.0,2022/06,150.0,2022/06,150.0,2022/06,150,2022/06,150.0
2022/07,25.0,2022/07,150.0,2022/07,150.0,2022/07,150,2022/07,150.0
2022/08,34.0,2022/08,150.0,2022/08,150.0,2022/08,150,2022/08,150.0
2022/09,33.0,2022/09,150.0,2022/09,150.0,2022/09,150,2022/09,150.0
2022/10,26.0,2022/10,150.0,2022/10,150.0,2022/10,150,2022/10,150.0
2022/11,22.0,2022/11,150.0,2022/11,150.0,2022/11,150,2022/11,150.0
2022/12,47.0,2022/12,150.0,2022/12,150.0,2022/12,150,2022/12,150.0
2023/01,19.0,2023/01,150.0,2023/01,150.0,2023/01,150,2023/01,150.0
2023/02,28.0,2023/02,150.0,2023/02,150.0,2023/02,150,2023/02,150.0
2023/03,25.0,2023/03,150.0,2023/03,150.0,2023/03,150,2023/03,150.0
2023/04,17.0,2023/04,150.0,2023/04,150.0,2023/04,150,2023/04,150.0
2023/05,16.0,2023/05,150.0,2023/05,150.0,2023/05,150,2023/05,150.0
2023/06,14.0,2023/06,150.0,2023/06,150.0,2023/06,150,2023/06,150.0
2023/07,12.0,2023/07,150.0,2023/07,150.0,2023/07,150,2023/07,150.0
2023/08,12.0,2023/08,150.0,2023/08,150.0,2023/08,150,2023/08,150.0
2023/09,10.0,2023/09,150.0,2023/09,150.0,2023/09,150,2023/09,150.0
2023/10,22.0,2023/10,150.0,2023/10,150.0,2023/10,150,2023/10,150.0
,,,,2013/01,0.0,2013/01,123,,
,,,,2013/02,2.0,2013/02,126,,
,,,,2013/03,6.0,2013/03,142,,
,,,,2013/04,6.0,2013/04,117,,
,,,,2013/05,6.0,2013/05,128,,
,,,,2013/06,4.0,2013/06,119,,
,,,,2013/07,3.0,2013/07,139,,
,,,,2013/08,4.0,2013/08,146,,
,,,,2013/09,6.0,2013/09,115,,
,,,,2013/10,4.0,2013/10,133,,
,,,,2013/11,6.0,2013/11,150,,
,,,,2013/12,4.0,2013/12,150,,
,,,,2014/01,3.0,2014/01,150,,
,,,,2014/02,4.0,2014/02,150,,
,,,,2014/03,2.0,2014/03,150,,
,,,,2014/04,4.0,2014/04,150,,
,,,,2014/05,6.0,2014/05,150,,
,,,,2014/06,3.0,2014/06,150,,
,,,,2014/07,7.0,2014/07,150,,
,,,,2014/08,5.0,2014/08,150,,
,,,,2014/09,3.0,2014/09,150,,
,,,,2014/10,5.0,2014/10,150,,
,,,,2014/11,4.0,2014/11,150,,
,,,,2014/12,9.0,2014/12,150,,
,,,,2015/01,7.0,2015/01,150,,
,,,,2015/02,1.0,2015/02,150,,
,,,,2015/03,7.0,2015/03,150,,
,,,,2015/04,5.0,2015/04,150,,
,,,,2015/05,4.0,2015/05,150,,
,,,,2015/06,7.0,2015/06,150,,
,,,,2015/07,3.0,2015/07,150,,
,,,,2015/08,2.0,2015/08,150,,
,,,,2015/09,2.0,2015/09,150,,
,,,,2015/10,10.0,2015/10,150,,
,,,,2015/11,9.0,2015/11,150,,
,,,,2015/12,8.0,2015/12,150,,
,,,,2016/01,11.0,2016/01,150,,
,,,,2016/02,21.0,2016/02,150,,
,,,,2016/03,14.0,2016/03,150,,
,,,,2016/04,11.0,2016/04,150,,
,,,,2016/05,7.0,2016/05,150,,
,,,,2016/06,7.0,2016/06,150,,
,,,,2016/07,8.0,2016/07,150,,
,,,,2016/08,19.0,2016/08,150,,
,,,,2016/09,16.0,2016/09,150,,
,,,,2016/10,21.0,2016/10,150,,
,,,,2016/11,18.0,2016/11,150,,
,,,,2016/12,10.0,2016/12,150,,
,,,,2017/01,11.0,2017/01,150,,
,,,,2017/02,17.0,2017/02,150,,
,,,,2017/03,13.0,2017/03,150,,
,,,,2017/04,10.0,2017/04,150,,
,,,,2017/05,14.0,2017/05,150,,
,,,,2017/06,20.0,2017/06,150,,
,,,,2017/07,7.0,2017/07,150,,
,,,,2017/08,14.0,2017/08,150,,
,,,,2017/09,20.0,2017/09,150,,
,,,,2017/10,9.0,2017/10,150,,
,,,,2017/11,11.0,2017/11,150,,
,,,,2017/12,17.0,2017/12,150,,
,,,,2018/01,21.0,2018/01,150,,
,,,,2018/02,30.0,2018/02,150,,
,,,,2018/03,35.0,2018/03,150,,
,,,,,,2008/09,0,,
,,,,,,2008/10,4,,
,,,,,,2008/11,3,,
,,,,,,2008/12,3,,
,,,,,,2009/01,4,,
,,,,,,2009/02,3,,
,,,,,,2009/03,4,,
,,,,,,2009/04,2,,
,,,,,,2009/05,4,,
,,,,,,2009/06,4,,
,,,,,,2009/07,3,,
,,,,,,2009/08,2,,
,,,,,,2009/09,6,,
,,,,,,2009/10,1,,
,,,,,,2009/11,9,,
,,,,,,2009/12,7,,
,,,,,,2010/01,15,,
,,,,,,2010/02,20,,
,,,,,,2010/03,10,,
,,,,,,2010/04,23,,
,,,,,,2010/05,24,,
,,,,,,2010/06,10,,
,,,,,,2010/07,23,,
,,,,,,2010/08,26,,
,,,,,,2010/09,38,,
