"""좋댓구알""","""좋댓구알""","""졌잘싸""","""졌잘싸""","""난죽태""","""난죽태""","""하남자""","""하남자""","""갑분싸""","""갑분싸"""
연/월,"""좋댓구알""_빈도수",연/월,"""졌잘싸""_빈도수",연/월,"""난죽태""_빈도수",연/월,"""하남자""_빈도수",연/월,"""갑분싸""_빈도수"
2020/01,0.0,2020/01,111,,,2020/01,6.0,2020/01,150.0
2020/02,1.0,2020/02,101,,,2020/02,6.0,2020/02,150.0
2020/03,1.0,2020/03,123,,,2020/03,3.0,2020/03,150.0
2020/04,3.0,2020/04,104,,,2020/04,13.0,2020/04,150.0
2020/05,3.0,2020/05,113,,,2020/05,10.0,2020/05,150.0
2020/06,5.0,2020/06,116,,,2020/06,3.0,2020/06,150.0
2020/07,2.0,2020/07,116,,,2020/07,1.0,2020/07,150.0
2020/08,6.0,2020/08,138,,,2020/08,5.0,2020/08,150.0
2020/09,14.0,2020/09,122,,,2020/09,4.0,2020/09,150.0
2020/10,6.0,2020/10,150,,,2020/10,7.0,2020/10,150.0
2020/11,1.0,2020/11,150,,,2020/11,10.0,2020/11,150.0
2020/12,1.0,2020/12,150,,,2020/12,5.0,2020/12,150.0
2021/01,4.0,2021/01,138,,,2021/01,6.0,2021/01,150.0
2021/02,9.0,2021/02,131,,,2021/02,11.0,2021/02,150.0
2021/03,16.0,2021/03,150,,,2021/03,5.0,2021/03,150.0
2021/04,17.0,2021/04,150,,,2021/04,7.0,2021/04,150.0
2021/05,28.0,2021/05,150,,,2021/05,8.0,2021/05,150.0
2021/06,32.0,2021/06,150,,,2021/06,7.0,2021/06,150.0
2021/07,33.0,2021/07,150,,,2021/07,5.0,2021/07,150.0
2021/08,65.0,2021/08,150,,,2021/08,8.0,2021/08,150.0
2021/09,89.0,2021/09,150,,,2021/09,8.0,2021/09,150.0
2021/10,79.0,2021/10,150,,,2021/10,15.0,2021/10,150.0
2021/11,53.0,2021/11,150,,,2021/11,40.0,2021/11,150.0
2021/12,84.0,2021/12,150,,,2021/12,55.0,2021/12,150.0
2022/01,106.0,2022/01,150,,,2022/01,55.0,2022/01,150.0
2022/02,90.0,2022/02,150,,,2022/02,38.0,2022/02,150.0
2022/03,150.0,2022/03,150,,,2022/03,134.0,2022/03,150.0
2022/04,149.0,2022/04,150,,,2022/04,150.0,2022/04,150.0
2022/05,132.0,2022/05,150,,,2022/05,150.0,2022/05,150.0
2022/06,134.0,2022/06,150,,,2022/06,150.0,2022/06,150.0
2022/07,130.0,2022/07,150,,,2022/07,150.0,2022/07,150.0
2022/08,150.0,2022/08,150,,,2022/08,150.0,2022/08,150.0
2022/09,150.0,2022/09,150,,,2022/09,150.0,2022/09,150.0
2022/10,150.0,2022/10,150,,,2022/10,150.0,2022/10,150.0
2022/11,150.0,2022/11,150,,,2022/11,150.0,2022/11,150.0
2022/12,150.0,2022/12,150,,,2022/12,150.0,2022/12,150.0
2023/01,150.0,2023/01,150,,,2023/01,150.0,2023/01,150.0
2023/02,150.0,2023/02,150,,,2023/02,150.0,2023/02,150.0
2023/03,150.0,2023/03,150,,,2023/03,150.0,2023/03,150.0
2023/04,150.0,2023/04,150,,,2023/04,150.0,2023/04,150.0
2023/05,150.0,2023/05,150,,,2023/05,150.0,2023/05,150.0
2023/06,150.0,2023/06,150,,,2023/06,150.0,2023/06,150.0
2023/07,150.0,2023/07,150,,,2023/07,150.0,2023/07,150.0
2023/08,150.0,2023/08,150,,,2023/08,150.0,2023/08,150.0
2023/09,150.0,2023/09,150,,,2023/09,150.0,2023/09,150.0
2023/10,150.0,2023/10,150,2023/10,0.0,2023/10,150.0,2023/10,150.0
,,2015/12,0,,,,,,
,,2016/01,1,,,,,,
,,2016/02,1,,,,,,
,,2016/03,3,,,,,,
,,2016/04,1,,,,,,
,,2016/05,5,,,,,,
,,2016/06,11,,,,,,
,,2016/07,7,,,,,,
,,2016/08,28,,,,,,
,,2016/09,11,,,,,,
,,2016/10,11,,,,,,
,,2016/11,26,,,,,,
,,2016/12,28,,,,,,
,,2017/01,13,,,,,,
,,2017/02,16,,,,,,
,,2017/03,24,,,,,,
,,2017/04,25,,,,,,
,,2017/05,25,,,,,,
,,2017/06,24,,,,,2017/06,0.0
,,2017/07,26,,,,,2017/07,5.0
,,2017/08,64,,,,,2017/08,27.0
,,2017/09,27,,,,,2017/09,51.0
,,2017/10,53,,,,,2017/10,62.0
,,2017/11,40,,,,,2017/11,68.0
,,2017/12,58,,,,,2017/12,95.0
,,2018/01,64,,,2018/01,0.0,2018/01,127.0
,,2018/02,84,,,2018/02,1.0,2018/02,150.0
,,2018/03,85,,,2018/03,1.0,2018/03,150.0
,,2018/04,69,,,2018/04,1.0,2018/04,150.0
,,2018/05,72,,,2018/05,2.0,2018/05,150.0
,,2018/06,150,,,2018/06,3.0,2018/06,150.0
,,2018/07,150,,,2018/07,3.0,2018/07,150.0
,,2018/08,101,,,2018/08,3.0,2018/08,150.0
,,2018/09,56,,,2018/09,5.0,2018/09,150.0
,,2018/10,94,,,2018/10,2.0,2018/10,150.0
,,2018/11,82,,,2018/11,4.0,2018/11,150.0
,,2018/12,63,,,2018/12,6.0,2018/12,150.0
,,2019/01,137,,,2019/01,3.0,2019/01,150.0
,,2019/02,75,,,2019/02,3.0,2019/02,150.0
,,2019/03,86,,,2019/03,4.0,2019/03,150.0
,,2019/04,106,,,2019/04,3.0,2019/04,150.0
,,2019/05,128,,,2019/05,7.0,2019/05,150.0
,,2019/06,150,,,2019/06,8.0,2019/06,150.0
,,2019/07,135,,,2019/07,5.0,2019/07,150.0
,,2019/08,87,,,2019/08,3.0,2019/08,150.0
,,2019/09,84,,,2019/09,6.0,2019/09,150.0
,,2019/10,109,,,2019/10,49.0,2019/10,150.0
