"""까방권""","""까방권""","""꾸안꾸""","""꾸안꾸""","""돈쭐""","""돈쭐""","""별다줄""","""별다줄""","""보배""","""보배""","""난죽택""","""난죽택"""
연/월,"""까방권""_빈도수",연/월,"""꾸안꾸""_빈도수",연/월,"""돈쭐""_빈도수",연/월,"""별다줄""_빈도수",연/월,"""보배""_빈도수",연/월,"""난죽택""_빈도수"
2012/10,0.0,,,,,,,2012/10,150,,
2012/11,29.0,,,,,,,2012/11,150,,
2012/12,35.0,,,,,,,2012/12,150,,
2013/01,29.0,,,,,,,2013/01,150,,
2013/02,23.0,,,,,,,2013/02,150,,
2013/03,37.0,,,,,,,2013/03,150,,
2013/04,32.0,,,,,,,2013/04,150,,
2013/05,42.0,,,,,,,2013/05,150,,
2013/06,44.0,,,,,,,2013/06,150,,
2013/07,54.0,,,,,,,2013/07,150,,
2013/08,138.0,2013/08,0.0,,,,,2013/08,150,,
2013/09,60.0,2013/09,2.0,,,,,2013/09,150,,
2013/10,51.0,2013/10,2.0,,,,,2013/10,150,,
2013/11,46.0,2013/11,3.0,,,,,2013/11,150,,
2013/12,43.0,2013/12,3.0,,,,,2013/12,150,,
2014/01,48.0,2014/01,2.0,,,,,2014/01,150,,
2014/02,29.0,2014/02,3.0,,,,,2014/02,150,,
2014/03,38.0,2014/03,2.0,,,,,2014/03,150,,
2014/04,33.0,2014/04,8.0,,,,,2014/04,150,,
2014/05,48.0,2014/05,4.0,,,,,2014/05,150,,
2014/06,46.0,2014/06,4.0,,,,,2014/06,150,,
2014/07,57.0,2014/07,4.0,,,,,2014/07,150,,
2014/08,34.0,2014/08,6.0,,,,,2014/08,150,,
2014/09,37.0,2014/09,3.0,,,,,2014/09,150,,
2014/10,54.0,2014/10,4.0,,,,,2014/10,150,,
2014/11,59.0,2014/11,8.0,,,,,2014/11,150,,
2014/12,72.0,2014/12,1.0,,,,,2014/12,150,,
2015/01,33.0,2015/01,7.0,,,,,2015/01,150,,
2015/02,44.0,2015/02,1.0,,,2015/02,0.0,2015/02,150,,
2015/03,34.0,2015/03,10.0,,,2015/03,7.0,2015/03,150,,
2015/04,49.0,2015/04,15.0,,,2015/04,13.0,2015/04,150,,
2015/05,60.0,2015/05,9.0,,,2015/05,17.0,2015/05,150,,
2015/06,49.0,2015/06,4.0,,,2015/06,7.0,2015/06,150,2015/06,0.0
2015/07,60.0,2015/07,6.0,,,2015/07,4.0,2015/07,150,2015/07,5.0
2015/08,73.0,2015/08,8.0,,,2015/08,8.0,2015/08,150,2015/08,4.0
2015/09,48.0,2015/09,12.0,,,2015/09,10.0,2015/09,150,2015/09,6.0
2015/10,31.0,2015/10,13.0,,,2015/10,22.0,2015/10,150,2015/10,8.0
2015/11,56.0,2015/11,6.0,,,2015/11,4.0,2015/11,150,2015/11,4.0
2015/12,36.0,2015/12,4.0,,,2015/12,15.0,2015/12,150,2015/12,7.0
2016/01,47.0,2016/01,8.0,,,2016/01,14.0,2016/01,150,2016/01,5.0
2016/02,53.0,2016/02,5.0,,,2016/02,7.0,2016/02,150,2016/02,3.0
2016/03,46.0,2016/03,12.0,,,2016/03,17.0,2016/03,150,2016/03,7.0
2016/04,42.0,2016/04,5.0,,,2016/04,7.0,2016/04,150,2016/04,5.0
2016/05,45.0,2016/05,10.0,,,2016/05,10.0,2016/05,150,2016/05,3.0
2016/06,48.0,2016/06,8.0,,,2016/06,9.0,2016/06,150,2016/06,3.0
2016/07,32.0,2016/07,10.0,,,2016/07,9.0,2016/07,150,2016/07,9.0
2016/08,42.0,2016/08,5.0,,,2016/08,19.0,2016/08,150,2016/08,6.0
2016/09,37.0,2016/09,5.0,,,2016/09,14.0,2016/09,150,2016/09,9.0
2016/10,40.0,2016/10,6.0,,,2016/10,20.0,2016/10,150,2016/10,11.0
2016/11,39.0,2016/11,5.0,,,2016/11,13.0,2016/11,150,2016/11,5.0
2016/12,38.0,2016/12,2.0,,,2016/12,16.0,2016/12,150,2016/12,10.0
2017/01,41.0,2017/01,6.0,,,2017/01,27.0,2017/01,150,2017/01,9.0
2017/02,26.0,2017/02,4.0,,,2017/02,48.0,2017/02,150,2017/02,12.0
2017/03,30.0,2017/03,1.0,,,2017/03,28.0,2017/03,150,2017/03,13.0
2017/04,46.0,2017/04,7.0,,,2017/04,48.0,2017/04,150,2017/04,13.0
2017/05,62.0,2017/05,25.0,,,2017/05,14.0,2017/05,150,2017/05,16.0
2017/06,53.0,2017/06,23.0,,,2017/06,13.0,2017/06,150,2017/06,30.0
2017/07,49.0,2017/07,6.0,,,2017/07,16.0,2017/07,150,2017/07,27.0
2017/08,45.0,2017/08,13.0,,,2017/08,20.0,2017/08,150,2017/08,24.0
2017/09,28.0,2017/09,13.0,,,2017/09,17.0,2017/09,150,2017/09,31.0
2017/10,50.0,2017/10,5.0,,,2017/10,13.0,2017/10,150,2017/10,23.0
2017/11,35.0,2017/11,7.0,,,2017/11,10.0,2017/11,150,2017/11,36.0
2017/12,43.0,2017/12,6.0,,,2017/12,10.0,2017/12,150,2017/12,29.0
2018/01,36.0,2018/01,10.0,,,2018/01,12.0,2018/01,150,2018/01,55.0
2018/02,44.0,2018/02,9.0,,,2018/02,11.0,2018/02,150,2018/02,58.0
2018/03,41.0,2018/03,15.0,,,2018/03,29.0,2018/03,150,2018/03,58.0
2018/04,55.0,2018/04,13.0,,,2018/04,23.0,2018/04,150,2018/04,30.0
2018/05,69.0,2018/05,83.0,,,2018/05,40.0,2018/05,150,2018/05,38.0
2018/06,150.0,2018/06,88.0,,,2018/06,61.0,2018/06,150,2018/06,33.0
