"""김치녀""","""김치녀""","""폼미쳤다""","""폼미쳤다""","""힘숨찐""","""힘숨찐""","""성덕""","""성덕""","""다꾸""","""다꾸"""
연/월,"""김치녀""_빈도수",연/월,"""폼미쳤다""_빈도수",연/월,"""힘숨찐""_빈도수",연/월,"""성덕""_빈도수",연/월,"""다꾸""_빈도수"
Oct-23,134,Oct-23,150,Oct-23,150,Oct-23,150,Oct-23,150
Sep-23,139,Sep-23,150,Sep-23,150,Sep-23,150,Sep-23,150
Aug-23,139,Aug-23,150,Aug-23,150,Aug-23,150,Aug-23,150
Jul-23,145,Jul-23,150,Jul-23,150,Jul-23,150,Jul-23,150
Jun-23,131,Jun-23,150,Jun-23,150,Jun-23,150,Jun-23,150
May-23,140,May-23,149,May-23,150,May-23,150,May-23,150
Apr-23,131,Apr-23,145,Apr-23,150,Apr-23,150,Apr-23,150
Mar-23,144,Mar-23,136,Mar-23,150,Mar-23,150,Mar-23,150
Feb-23,141,Feb-23,110,Feb-23,150,Feb-23,150,Feb-23,150
Jan-23,139,Jan-23,54,Jan-23,150,Jan-23,150,Jan-23,150
Dec-22,150,Dec-22,25,Dec-22,150,Dec-22,150,Dec-22,150
Nov-22,148,Nov-22,8,Nov-22,150,Nov-22,150,Nov-22,150
Oct-22,130,Oct-22,2,Oct-22,140,Oct-22,150,Oct-22,150
Sep-22,138,Sep-22,1,Sep-22,150,Sep-22,150,Sep-22,150
Aug-22,137,Aug-22,1,Aug-22,150,Aug-22,150,Aug-22,150
Jul-22,126,Jul-22,0,Jul-22,150,Jul-22,150,Jul-22,150
Jun-22,150,,,Jun-22,150,Jun-22,150,Jun-22,150
May-22,150,,,May-22,147,May-22,150,May-22,150
Apr-22,128,,,Apr-22,150,Apr-22,150,Apr-22,150
Mar-22,150,,,Mar-22,150,Mar-22,150,Mar-22,150
Feb-22,131,,,Feb-22,150,Feb-22,150,Feb-22,150
Jan-22,148,,,Jan-22,150,Jan-22,150,Jan-22,150
Dec-21,142,,,Dec-21,131,Dec-21,150,Dec-21,150
Nov-21,150,,,Nov-21,138,Nov-21,150,Nov-21,150
Oct-21,138,,,Oct-21,150,Oct-21,150,Oct-21,150
Sep-21,148,,,Sep-21,126,Sep-21,150,Sep-21,150
Aug-21,150,,,Aug-21,124,Aug-21,150,Aug-21,150
Jul-21,150,,,Jul-21,147,Jul-21,150,Jul-21,150
Jun-21,147,,,Jun-21,141,Jun-21,150,Jun-21,150
May-21,150,,,May-21,109,May-21,150,May-21,150
Apr-21,141,,,Apr-21,98,Apr-21,150,Apr-21,150
Mar-21,144,,,Mar-21,84,Mar-21,150,Mar-21,150
Feb-21,106,,,Feb-21,96,Feb-21,150,Feb-21,150
Jan-21,131,,,Jan-21,90,Jan-21,150,Jan-21,150
Dec-20,127,,,Dec-20,79,Dec-20,150,Dec-20,150
Nov-20,135,,,Nov-20,85,Nov-20,150,Nov-20,150
Oct-20,117,,,Oct-20,80,Oct-20,150,Oct-20,150
Sep-20,122,,,Sep-20,78,Sep-20,150,Sep-20,150
Aug-20,147,,,Aug-20,77,Aug-20,150,Aug-20,150
Jul-20,149,,,Jul-20,50,Jul-20,150,Jul-20,150
Jun-20,124,,,Jun-20,60,Jun-20,150,Jun-20,150
May-20,150,,,May-20,58,May-20,150,May-20,150
Apr-20,141,,,Apr-20,67,Apr-20,150,Apr-20,150
Mar-20,138,,,Mar-20,58,Mar-20,150,Mar-20,150
Feb-20,139,,,Feb-20,45,Feb-20,150,Feb-20,150
Jan-20,137,,,Jan-20,42,Jan-20,150,Jan-20,150
Dec-19,144,,,Dec-19,25,Dec-19,150,Dec-19,150
