"""G.O.A.T""","""G.O.A.T"""
연/월,"""G.O.A.T""_빈도수"
2003/09,0
2003/10,8
2003/11,3
2003/12,13
2004/01,10
2004/02,10
2004/03,13
2004/04,46
2004/05,26
2004/06,24
2004/07,31
2004/08,34
2004/09,35
2004/10,41
2004/11,48
2004/12,40
2005/01,33
2005/02,52
2005/03,82
2005/04,60
2005/05,47
2005/06,41
2005/07,56
2005/08,57
2005/09,56
2005/10,51
2005/11,42
2005/12,47
2006/01,45
2006/02,67
2006/03,76
2006/04,82
2006/05,65
2006/06,75
2006/07,77
2006/08,78
2006/09,72
2006/10,85
2006/11,91
2006/12,101
2007/01,119
2007/02,136
2007/03,122
2007/04,118
2007/05,110
2007/06,111
2007/07,117
2007/08,106
2007/09,94
2007/10,114
2007/11,108
2007/12,90
2008/01,108
2008/02,97
2008/03,99
2008/04,100
2008/05,113
2008/06,104
2008/07,118
2008/08,128
2008/09,127
2008/10,146
2008/11,111
2008/12,150
2009/01,130
2009/02,136
2009/03,143
2009/04,145
2009/05,117
2009/06,109
2009/07,148
2009/08,127
2009/09,123
2009/10,129
2009/11,124
2009/12,150
2010/01,150
2010/02,150
2010/03,143
2010/04,147
2010/05,150
2010/06,150
2010/07,129
2010/08,150
2010/09,140
2010/10,128
2010/11,150
2010/12,150
2011/01,150
2011/02,150
2011/03,150
2011/04,150
2011/05,150
2011/06,143
2011/07,150
2011/08,150
2011/09,150
2011/10,150
2011/11,150
2011/12,150
2012/01,150
2012/02,150
2012/03,150
2012/04,150
2012/05,150
2012/06,150
2012/07,150
2012/08,150
2012/09,150
2012/10,150
2012/11,150
2012/12,150
2013/01,150
2013/02,150
2013/03,150
2013/04,150
2013/05,150
2013/06,150
2013/07,150
2013/08,150
2013/09,150
2013/10,150
2013/11,150
2013/12,150
2014/01,150
2014/02,150
2014/03,150
2014/04,150
2014/05,150
2014/06,150
2014/07,150
2014/08,150
2014/09,150
2014/10,150
2014/11,150
2014/12,150
2015/01,150
2015/02,150
2015/03,150
2015/04,150
2015/05,150
2015/06,150
2015/07,150
2015/08,150
2015/09,150
2015/10,150
2015/11,150
2015/12,150
2016/01,150
2016/02,150
2016/03,150
2016/04,150
2016/05,150
2016/06,150
2016/07,150
2016/08,150
2016/09,150
2016/10,150
2016/11,150
2016/12,150
2017/01,150
2017/02,150
2017/03,150
2017/04,150
2017/05,150
2017/06,150
2017/07,150
2017/08,150
2017/09,150
2017/10,150
2017/11,150
2017/12,150
2018/01,150
2018/02,150
2018/03,150
2018/04,150
2018/05,150
2018/06,150
2018/07,150
2018/08,150
2018/09,150
2018/10,150
2018/11,150
2018/12,150
2019/01,150
2019/02,150
2019/03,150
2019/04,150
2019/05,150
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
