"""국룰""","""국룰"""
연/월,"""국룰""_빈도수"
2012/01,0
2012/02,9
2012/03,28
2012/04,5
2012/05,10
2012/06,12
2012/07,7
2012/08,22
2012/09,14
2012/10,15
2012/11,9
2012/12,18
2013/01,13
2013/02,13
2013/03,9
2013/04,6
2013/05,6
2013/06,3
2013/07,6
2013/08,1
2013/09,6
2013/10,8
2013/11,8
2013/12,3
2014/01,10
2014/02,6
2014/03,2
2014/04,7
2014/05,9
2014/06,51
2014/07,50
2014/08,52
2014/09,51
2014/10,50
2014/11,52
2014/12,50
2015/01,50
2015/02,53
2015/03,51
2015/04,51
2015/05,54
2015/06,53
2015/07,53
2015/08,52
2015/09,52
2015/10,55
2015/11,58
2015/12,56
2016/01,56
2016/02,60
2016/03,25
2016/04,15
2016/05,15
2016/06,8
2016/07,10
2016/08,25
2016/09,11
2016/10,8
2016/11,8
2016/12,13
2017/01,7
2017/02,16
2017/03,13
2017/04,10
2017/05,15
2017/06,10
2017/07,11
2017/08,21
2017/09,17
2017/10,16
2017/11,4
2017/12,11
2018/01,16
2018/02,12
2018/03,17
2018/04,7
2018/05,16
2018/06,17
2018/07,22
2018/08,22
2018/09,32
2018/10,31
2018/11,54
2018/12,50
2019/01,63
2019/02,85
2019/03,113
2019/04,107
2019/05,106
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
