"""국힙원탑""","""국힙원탑"""
연/월,"""국힙원탑""_빈도수"
2017/12,0
2018/01,3
2018/02,4
2018/03,2
2018/04,3
2018/05,1
2018/06,3
2018/07,2
2018/08,5
2018/09,7
2018/10,2
2018/11,15
2018/12,11
2019/01,5
2019/02,7
2019/03,6
2019/04,5
2019/05,7
2019/06,7
2019/07,10
2019/08,18
2019/09,7
2019/10,3
2019/11,14
2019/12,8
2020/01,10
2020/02,12
2020/03,9
2020/04,12
2020/05,37
2020/06,25
2020/07,28
2020/08,29
2020/09,25
2020/10,51
2020/11,67
2020/12,87
2021/01,106
2021/02,98
2021/03,150
2021/04,150
2021/05,139
2021/06,79
2021/07,104
2021/08,71
2021/09,84
2021/10,130
2021/11,131
2021/12,150
2022/01,133
2022/02,115
2022/03,150
2022/04,150
2022/05,145
2022/06,118
2022/07,126
2022/08,129
2022/09,141
2022/10,140
2022/11,121
2022/12,150
2023/01,136
2023/02,96
2023/03,81
2023/04,89
2023/05,83
2023/06,89
2023/07,145
2023/08,114
2023/09,122
2023/10,130
2023/11,85
