"""기모띠""","""기모띠"""
연/월,"""기모띠""_빈도수"
2013/01,0
2013/02,1
2013/03,7
2013/04,2
2013/05,4
2013/06,5
2013/07,7
2013/08,3
2013/09,9
2013/10,10
2013/11,8
2013/12,7
2014/01,5
2014/02,10
2014/03,12
2014/04,7
2014/05,8
2014/06,10
2014/07,9
2014/08,11
2014/09,8
2014/10,11
2014/11,14
2014/12,16
2015/01,30
2015/02,57
2015/03,72
2015/04,71
2015/05,70
2015/06,77
2015/07,93
2015/08,114
2015/09,107
2015/10,138
2015/11,150
2015/12,150
2016/01,150
2016/02,150
2016/03,150
2016/04,150
2016/05,150
2016/06,150
2016/07,150
2016/08,150
2016/09,150
2016/10,150
2016/11,150
2016/12,150
2017/01,150
2017/02,150
2017/03,150
2017/04,150
2017/05,150
2017/06,150
2017/07,150
2017/08,150
2017/09,150
2017/10,150
2017/11,150
2017/12,150
2018/01,150
2018/02,150
2018/03,150
2018/04,150
2018/05,150
2018/06,150
2018/07,150
2018/08,150
2018/09,150
2018/10,150
2018/11,150
2018/12,150
2019/01,150
2019/02,150
2019/03,150
2019/04,150
2019/05,150
2019/06,150
2019/07,150
2019/08,148
2019/09,132
2019/10,135
2019/11,127
2019/12,118
2020/01,126
2020/02,140
2020/03,107
2020/04,117
2020/05,122
2020/06,117
2020/07,126
2020/08,110
2020/09,103
2020/10,107
2020/11,131
2020/12,128
2021/01,150
2021/02,127
2021/03,150
2021/04,115
2021/05,133
2021/06,112
2021/07,120
2021/08,111
2021/09,117
2021/10,102
2021/11,112
2021/12,122
2022/01,114
2022/02,142
2022/03,145
2022/04,128
2022/05,113
2022/06,126
2022/07,140
2022/08,134
2022/09,145
2022/10,149
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
