"""나비보벳따우""","""나비보벳따우"""
연/월,"""나비보벳따우""_빈도수"
2019/11,0
2019/12,1
2020/01,3
2020/02,78
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,116
2021/02,89
2021/03,101
2021/04,108
2021/05,106
2021/06,74
2021/07,83
2021/08,48
2021/09,36
2021/10,76
2021/11,81
2021/12,47
2022/01,33
2022/02,37
2022/03,58
2022/04,49
2022/05,52
2022/06,46
2022/07,58
2022/08,46
2022/09,46
2022/10,46
2022/11,47
2022/12,38
2023/01,41
2023/02,43
2023/03,47
2023/04,46
2023/05,46
2023/06,39
2023/07,65
2023/08,76
2023/09,40
2023/10,68
2023/11,62
