"""나심비""","""나심비"""
연/월,"""나심비""_빈도수"
2017/12,0
2018/01,30
2018/02,14
2018/03,9
2018/04,12
2018/05,8
2018/06,8
2018/07,30
2018/08,24
2018/09,18
2018/10,25
2018/11,30
2018/12,30
2019/01,30
2019/02,30
2019/03,30
2019/04,30
2019/05,30
2019/06,30
2019/07,30
2019/08,30
2019/09,30
2019/10,28
2019/11,30
2019/12,30
2020/01,30
2020/02,30
2020/03,30
2020/04,30
2020/05,30
2020/06,30
2020/07,30
2020/08,30
2020/09,30
2020/10,30
2020/11,30
2020/12,30
2021/01,30
2021/02,30
2021/03,30
2021/04,30
2021/05,30
2021/06,30
2021/07,20
2021/08,30
2021/09,30
2021/10,26
2021/11,24
2021/12,30
2022/01,27
2022/02,27
2022/03,30
2022/04,30
2022/05,30
2022/06,34
2022/07,26
2022/08,17
2022/09,23
2022/10,22
2022/11,27
2022/12,21
2023/01,25
2023/02,105
2023/03,62
2023/04,23
2023/05,16
2023/06,19
2023/07,27
2023/08,38
2023/09,11
2023/10,28
2023/11,34
