"""낮져밤이""","""낮져밤이"""
연/월,"""낮져밤이""_빈도수"
2012/06,0
2012/07,2
2012/08,1
2012/09,15
2012/10,15
2012/11,15
2012/12,13
2013/01,5
2013/02,8
2013/03,9
2013/04,17
2013/05,15
2013/06,11
2013/07,10
2013/08,16
2013/09,15
2013/10,12
2013/11,22
2013/12,41
2014/01,84
2014/02,91
2014/03,87
2014/04,108
2014/05,143
2014/06,150
2014/07,150
2014/08,150
2014/09,107
2014/10,150
2014/11,135
2014/12,144
2015/01,133
2015/02,115
2015/03,150
2015/04,117
2015/05,109
2015/06,150
2015/07,143
2015/08,114
2015/09,108
2015/10,141
2015/11,125
2015/12,134
2016/01,134
2016/02,108
2016/03,86
2016/04,98
2016/05,91
2016/06,94
2016/07,81
2016/08,86
2016/09,64
2016/10,90
2016/11,84
2016/12,93
2017/01,124
2017/02,120
2017/03,84
2017/04,107
2017/05,87
2017/06,69
2017/07,51
2017/08,70
2017/09,81
2017/10,89
2017/11,61
2017/12,69
2018/01,88
2018/02,81
2018/03,62
2018/04,61
2018/05,56
2018/06,44
2018/07,57
2018/08,55
2018/09,63
2018/10,43
2018/11,57
2018/12,45
2019/01,55
2019/02,58
2019/03,51
2019/04,43
2019/05,46
2019/06,45
2019/07,58
2019/08,61
2019/09,35
2019/10,49
2019/11,60
2019/12,40
2020/01,38
2020/02,51
2020/03,56
2020/04,61
2020/05,102
2020/06,80
2020/07,80
2020/08,76
2020/09,69
2020/10,76
2020/11,81
2020/12,80
2021/01,86
2021/02,73
2021/03,74
2021/04,97
2021/05,98
2021/06,77
2021/07,82
2021/08,109
2021/09,108
2021/10,75
2021/11,98
2021/12,109
2022/01,135
2022/02,122
2022/03,102
2022/04,90
2022/05,111
2022/06,82
2022/07,97
2022/08,91
2022/09,114
2022/10,90
2022/11,86
2022/12,70
2023/01,110
2023/02,98
2023/03,114
2023/04,101
2023/05,109
2023/06,111
2023/07,115
2023/08,94
2023/09,117
2023/10,125
2023/11,79
