"""너또다""","""너또다"""
연/월,"""너또다""_빈도수"
2019/12,0
2020/01,1
2020/02,1
2020/03,1
2020/04,6
2020/05,1
2020/06,4
2020/07,8
2020/08,11
2020/09,7
2020/10,7
2020/11,6
2020/12,5
2021/01,6
2021/02,3
2021/03,3
2021/04,1
2021/05,3
2021/06,2
2021/07,4
2021/08,1
2021/09,1
2021/10,3
2021/11,4
2021/12,3
2022/01,4
2022/02,6
2022/03,13
2022/04,10
2022/05,10
2022/06,4
2022/07,11
2022/08,6
2022/09,21
2022/10,9
2022/11,16
2022/12,13
2023/01,18
2023/02,44
2023/03,13
2023/04,7
2023/05,8
2023/06,3
2023/07,4
2023/08,4
2023/09,6
2023/10,5
2023/11,5
