"""레알""","""레알"""
연/월,"""레알""_빈도수"
2002/08,0
2002/09,5
2002/10,6
2002/11,5
2002/12,4
2003/01,5
2003/02,2
2003/03,2
2003/04,5
2003/05,5
2003/06,3
2003/07,6
2003/08,4
2003/09,3
2003/10,7
2003/11,3
2003/12,64
2004/01,70
2004/02,116
2004/03,140
2004/04,150
2004/05,142
2004/06,150
2004/07,150
2004/08,150
2004/09,133
2004/10,139
2004/11,147
2004/12,131
2005/01,128
2005/02,141
2005/03,138
2005/04,136
2005/05,140
2005/06,143
2005/07,150
2005/08,150
2005/09,150
2005/10,150
2005/11,150
2005/12,150
2006/01,150
2006/02,150
2006/03,150
2006/04,150
2006/05,150
2006/06,150
2006/07,150
2006/08,150
2006/09,150
2006/10,150
2006/11,150
2006/12,150
2007/01,150
2007/02,150
2007/03,150
2007/04,150
2007/05,150
2007/06,150
2007/07,150
2007/08,150
2007/09,150
2007/10,150
2007/11,150
2007/12,150
2008/01,150
2008/02,150
2008/03,150
2008/04,150
2008/05,150
2008/06,150
2008/07,150
2008/08,150
2008/09,150
2008/10,150
2008/11,150
2008/12,150
2009/01,150
2009/02,150
2009/03,150
2009/04,150
2009/05,150
2009/06,150
2009/07,150
2009/08,150
2009/09,150
2009/10,150
2009/11,150
2009/12,150
2010/01,150
2010/02,150
2010/03,150
2010/04,150
2010/05,150
2010/06,150
2010/07,150
2010/08,150
2010/09,150
2010/10,150
2010/11,150
2010/12,150
2011/01,150
2011/02,150
2011/03,150
2011/04,150
2011/05,150
2011/06,150
2011/07,150
2011/08,150
2011/09,150
2011/10,150
2011/11,150
2011/12,150
2012/01,150
2012/02,150
2012/03,150
2012/04,150
2012/05,150
2012/06,150
2012/07,150
2012/08,150
2012/09,150
2012/10,150
2012/11,150
2012/12,150
2013/01,150
2013/02,150
2013/03,150
2013/04,150
2013/05,150
2013/06,150
2013/07,150
2013/08,150
2013/09,150
2013/10,150
2013/11,150
2013/12,150
2014/01,150
2014/02,150
2014/03,150
2014/04,150
2014/05,150
2014/06,150
2014/07,150
2014/08,150
2014/09,150
2014/10,150
2014/11,150
2014/12,150
2015/01,150
2015/02,150
2015/03,150
2015/04,150
2015/05,150
2015/06,150
2015/07,150
2015/08,150
2015/09,150
2015/10,150
2015/11,150
2015/12,150
2016/01,150
2016/02,150
2016/03,150
2016/04,150
2016/05,150
2016/06,150
2016/07,150
2016/08,150
2016/09,150
2016/10,150
2016/11,150
2016/12,150
2017/01,150
2017/02,150
2017/03,150
2017/04,150
2017/05,150
2017/06,150
2017/07,150
2017/08,150
2017/09,150
2017/10,150
2017/11,150
2017/12,150
2018/01,150
2018/02,150
2018/03,150
2018/04,150
2018/05,150
2018/06,150
2018/07,150
2018/08,150
2018/09,150
2018/10,150
2018/11,150
2018/12,150
2019/01,150
2019/02,150
2019/03,150
2019/04,150
2019/05,150
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
