"""머선129""","""머선129"""
연/월,"""머선129""_빈도수"
2019/08,0
2019/09,1
2019/10,2
2019/11,2
2019/12,1
2020/01,2
2020/02,12
2020/03,27
2020/04,45
2020/05,59
2020/06,77
2020/07,122
2020/08,149
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
