"""복세편살""","""복세편살"""
연/월,"""복세편살""_빈도수"
2014/03,0
2014/04,6
2014/05,5
2014/06,1
2014/07,56
2014/08,39
2014/09,68
2014/10,71
2014/11,75
2014/12,92
2015/01,77
2015/02,43
2015/03,50
2015/04,51
2015/05,75
2015/06,69
2015/07,63
2015/08,52
2015/09,51
2015/10,95
2015/11,90
2015/12,103
2016/01,83
2016/02,98
2016/03,113
2016/04,105
2016/05,87
2016/06,84
2016/07,92
2016/08,96
2016/09,86
2016/10,96
2016/11,117
2016/12,87
2017/01,83
2017/02,78
2017/03,114
2017/04,114
2017/05,113
2017/06,81
2017/07,89
2017/08,53
2017/09,43
2017/10,34
2017/11,39
2017/12,38
2018/01,32
2018/02,34
2018/03,70
2018/04,53
2018/05,86
2018/06,69
2018/07,107
2018/08,110
2018/09,89
2018/10,105
2018/11,109
2018/12,89
2019/01,122
2019/02,114
2019/03,112
2019/04,103
2019/05,115
2019/06,116
2019/07,110
2019/08,98
2019/09,109
2019/10,109
2019/11,97
2019/12,89
2020/01,85
2020/02,86
2020/03,102
2020/04,113
2020/05,135
2020/06,150
2020/07,129
2020/08,124
2020/09,138
2020/10,144
2020/11,138
2020/12,131
2021/01,150
2021/02,143
2021/03,141
2021/04,138
2021/05,150
2021/06,131
2021/07,150
2021/08,138
2021/09,150
2021/10,146
2021/11,136
2021/12,136
2022/01,146
2022/02,149
2022/03,150
2022/04,133
2022/05,129
2022/06,145
2022/07,147
2022/08,141
2022/09,148
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,148
2023/04,150
2023/05,150
2023/06,148
2023/07,134
2023/08,139
2023/09,150
2023/10,150
2023/11,150
