"""씹선비""","""씹선비"""
연/월,"""씹선비""_빈도수"
2011/07,0
2011/08,1
2011/09,2
2011/10,2
2011/11,2
2011/12,4
2012/01,2
2012/02,6
2012/03,4
2012/04,2
2012/05,4
2012/06,19
2012/07,48
2012/08,44
2012/09,53
2012/10,61
2012/11,59
2012/12,70
2013/01,70
2013/02,88
2013/03,65
2013/04,65
2013/05,72
2013/06,65
2013/07,70
2013/08,71
2013/09,70
2013/10,86
2013/11,69
2013/12,78
2014/01,73
2014/02,65
2014/03,74
2014/04,73
2014/05,75
2014/06,76
2014/07,77
2014/08,69
2014/09,72
2014/10,68
2014/11,66
2014/12,68
2015/01,73
2015/02,70
2015/03,66
2015/04,81
2015/05,88
2015/06,82
2015/07,81
2015/08,79
2015/09,72
2015/10,78
2015/11,88
2015/12,87
2016/01,85
2016/02,71
2016/03,87
2016/04,76
2016/05,85
2016/06,76
2016/07,81
2016/08,85
2016/09,68
2016/10,57
2016/11,77
2016/12,63
2017/01,72
2017/02,71
2017/03,81
2017/04,78
2017/05,75
2017/06,83
2017/07,85
2017/08,81
2017/09,71
2017/10,73
2017/11,64
2017/12,72
2018/01,71
2018/02,73
2018/03,86
2018/04,65
2018/05,82
2018/06,81
2018/07,79
2018/08,87
2018/09,81
2018/10,97
2018/11,76
2018/12,84
2019/01,83
2019/02,99
2019/03,71
2019/04,70
2019/05,88
2019/06,94
2019/07,82
2019/08,86
2019/09,69
2019/10,82
2019/11,80
2019/12,88
2020/01,75
2020/02,83
2020/03,97
2020/04,92
2020/05,96
2020/06,106
2020/07,102
2020/08,94
2020/09,86
2020/10,94
2020/11,92
2020/12,90
2021/01,101
2021/02,92
2021/03,83
2021/04,85
2021/05,94
2021/06,89
2021/07,87
2021/08,86
2021/09,83
2021/10,81
2021/11,76
2021/12,84
2022/01,79
2022/02,101
2022/03,102
2022/04,88
2022/05,92
2022/06,102
2022/07,106
2022/08,106
2022/09,113
2022/10,98
2022/11,111
2022/12,97
2023/01,92
2023/02,91
2023/03,108
2023/04,97
2023/05,133
2023/06,105
2023/07,101
2023/08,116
2023/09,118
2023/10,101
2023/11,84
