"""오팬무""","""오팬무"""
연/월,"""오팬무""_빈도수"
2018/04,0
2018/05,1
2018/06,1
2018/07,3
2018/08,5
2018/09,1
2018/10,9
2018/11,7
2018/12,8
2019/01,42
2019/02,52
2019/03,42
2019/04,13
2019/05,11
2019/06,19
2019/07,52
2019/08,46
2019/09,50
2019/10,31
2019/11,18
2019/12,22
2020/01,23
2020/02,37
2020/03,49
2020/04,46
2020/05,53
2020/06,54
2020/07,53
2020/08,53
2020/09,59
2020/10,53
2020/11,57
2020/12,54
2021/01,54
2021/02,55
2021/03,58
2021/04,60
2021/05,54
2021/06,45
2021/07,55
2021/08,44
2021/09,46
2021/10,58
2021/11,46
2021/12,33
2022/01,58
2022/02,61
2022/03,58
2022/04,40
2022/05,59
2022/06,34
2022/07,57
2022/08,43
2022/09,70
2022/10,68
2022/11,59
2022/12,64
2023/01,61
2023/02,52
2023/03,56
2023/04,67
2023/05,55
2023/06,61
2023/07,59
2023/08,71
2023/09,58
2023/10,61
2023/11,27
