"""존버""","""존버"""
연/월,"""존버""_빈도수"
2010/09,0
2010/10,3
2010/11,2
2010/12,5
2011/01,3
2011/02,3
2011/03,2
2011/04,3
2011/05,4
2011/06,10
2011/07,4
2011/08,7
2011/09,19
2011/10,9
2011/11,15
2011/12,27
2012/01,37
2012/02,51
2012/03,28
2012/04,38
2012/05,36
2012/06,44
2012/07,61
2012/08,50
2012/09,66
2012/10,81
2012/11,84
2012/12,90
2013/01,119
2013/02,65
2013/03,95
2013/04,67
2013/05,61
2013/06,63
2013/07,64
2013/08,64
2013/09,30
2013/10,59
2013/11,57
2013/12,69
2014/01,59
2014/02,44
2014/03,88
2014/04,55
2014/05,80
2014/06,60
2014/07,76
2014/08,52
2014/09,59
2014/10,75
2014/11,104
2014/12,103
2015/01,150
2015/02,120
2015/03,100
2015/04,109
2015/05,101
2015/06,98
2015/07,105
2015/08,117
2015/09,104
2015/10,121
2015/11,122
2015/12,142
2016/01,146
2016/02,99
2016/03,114
2016/04,150
2016/05,150
2016/06,150
2016/07,150
2016/08,150
2016/09,150
2016/10,150
2016/11,150
2016/12,150
2017/01,150
2017/02,150
2017/03,150
2017/04,150
2017/05,150
2017/06,150
2017/07,150
2017/08,150
2017/09,150
2017/10,150
2017/11,150
2017/12,150
2018/01,150
2018/02,150
2018/03,150
2018/04,150
2018/05,150
2018/06,150
2018/07,150
2018/08,150
2018/09,150
2018/10,150
2018/11,150
2018/12,150
2019/01,150
2019/02,150
2019/03,150
2019/04,150
2019/05,150
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
