"""취존""","""취존"""
연/월,"""취존""_빈도수"
2010/04,0
2010/05,13
2010/06,6
2010/07,11
2010/08,18
2010/09,4
2010/10,22
2010/11,12
2010/12,22
2011/01,25
2011/02,27
2011/03,27
2011/04,24
2011/05,24
2011/06,22
2011/07,30
2011/08,30
2011/09,30
2011/10,30
2011/11,30
2011/12,30
2012/01,30
2012/02,30
2012/03,30
2012/04,30
2012/05,30
2012/06,30
2012/07,30
2012/08,30
2012/09,30
2012/10,30
2012/11,30
2012/12,30
2013/01,30
2013/02,30
2013/03,30
2013/04,30
2013/05,30
2013/06,30
2013/07,30
2013/08,30
2013/09,30
2013/10,30
2013/11,30
2013/12,30
2014/01,30
2014/02,30
2014/03,30
2014/04,30
2014/05,30
2014/06,30
2014/07,30
2014/08,30
2014/09,30
2014/10,30
2014/11,30
2014/12,30
2015/01,30
2015/02,30
2015/03,30
2015/04,30
2015/05,30
2015/06,30
2015/07,30
2015/08,30
2015/09,30
2015/10,30
2015/11,30
2015/12,30
2016/01,30
2016/02,30
2016/03,30
2016/04,30
2016/05,30
2016/06,30
2016/07,30
2016/08,30
2016/09,30
2016/10,60
2016/11,150
2016/12,150
2017/01,150
2017/02,150
2017/03,150
2017/04,150
2017/05,150
2017/06,150
2017/07,150
2017/08,150
2017/09,150
2017/10,150
2017/11,150
2017/12,150
2018/01,150
2018/02,150
2018/03,150
2018/04,150
2018/05,150
2018/06,150
2018/07,150
2018/08,150
2018/09,141
2018/10,150
2018/11,149
2018/12,150
2019/01,150
2019/02,150
2019/03,146
2019/04,150
2019/05,150
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
