"""킹받""","""킹받"""
연/월,"""킹받""_빈도수"
2019/11,0
2019/12,4
2020/01,1
2020/02,1
2020/03,4
2020/04,3
2020/05,1
2020/06,10
2020/07,1
2020/08,4
2020/09,5
2020/10,6
2020/11,4
2020/12,8
2021/01,12
2021/02,7
2021/03,15
2021/04,25
2021/05,74
2021/06,55
2021/07,53
2021/08,84
2021/09,108
2021/10,135
2021/11,126
2021/12,136
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
