"""탈룰라""","""탈룰라"""
연/월,"""탈룰라""_빈도수"
2011/11,0
2011/12,12
2012/01,2
2012/02,6
2012/03,5
2012/04,4
2012/05,11
2012/06,17
2012/07,56
2012/08,40
2012/09,7
2012/10,6
2012/11,8
2012/12,12
2013/01,11
2013/02,4
2013/03,13
2013/04,7
2013/05,15
2013/06,6
2013/07,15
2013/08,10
2013/09,10
2013/10,10
2013/11,10
2013/12,13
2014/01,5
2014/02,4
2014/03,4
2014/04,1
2014/05,11
2014/06,27
2014/07,32
2014/08,18
2014/09,6
2014/10,6
2014/11,11
2014/12,7
2015/01,10
2015/02,14
2015/03,20
2015/04,14
2015/05,19
2015/06,42
2015/07,26
2015/08,16
2015/09,18
2015/10,17
2015/11,18
2015/12,17
2016/01,14
2016/02,20
2016/03,24
2016/04,20
2016/05,17
2016/06,13
2016/07,41
2016/08,37
2016/09,41
2016/10,20
2016/11,17
2016/12,22
2017/01,20
2017/02,16
2017/03,25
2017/04,18
2017/05,18
2017/06,36
2017/07,26
2017/08,22
2017/09,34
2017/10,36
2017/11,28
2017/12,45
2018/01,105
2018/02,111
2018/03,111
2018/04,147
2018/05,150
2018/06,150
2018/07,150
2018/08,148
2018/09,119
2018/10,130
2018/11,122
2018/12,129
2019/01,106
2019/02,138
2019/03,112
2019/04,109
2019/05,132
2019/06,126
2019/07,144
2019/08,110
2019/09,96
2019/10,90
2019/11,138
2019/12,150
2020/01,150
2020/02,145
2020/03,150
2020/04,144
2020/05,150
2020/06,138
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
