"""투머치토커""","""투머치토커"""
연/월,"""투머치토커""_빈도수"
2016/05,0
2016/06,1
2016/07,5
2016/08,8
2016/09,14
2016/10,22
2016/11,17
2016/12,10
2017/01,7
2017/02,10
2017/03,18
2017/04,3
2017/05,8
2017/06,26
2017/07,23
2017/08,12
2017/09,28
2017/10,51
2017/11,110
2017/12,90
2018/01,98
2018/02,73
2018/03,85
2018/04,110
2018/05,128
2018/06,110
2018/07,136
2018/08,135
2018/09,150
2018/10,150
2018/11,138
2018/12,128
2019/01,138
2019/02,126
2019/03,143
2019/04,127
2019/05,150
2019/06,150
2019/07,150
2019/08,140
2019/09,137
2019/10,148
2019/11,150
2019/12,150
2020/01,143
2020/02,146
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,30
2020/10,149
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,138
2021/06,147
2021/07,150
2021/08,150
2021/09,143
2021/10,141
2021/11,150
2021/12,150
2022/01,144
2022/02,146
2022/03,150
2022/04,147
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,149
2022/10,150
2022/11,150
2022/12,144
2023/01,140
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,149
2023/08,150
2023/09,150
2023/10,150
2023/11,150
