"""티엠아이""","""티엠아이"""
연/월,"""티엠아이""_빈도수"
2017/02,0
2017/03,5
2017/04,6
2017/05,5
2017/06,3
2017/07,4
2017/08,1
2017/09,5
2017/10,4
2017/11,3
2017/12,8
2018/01,20
2018/02,14
2018/03,19
2018/04,37
2018/05,71
2018/06,56
2018/07,116
2018/08,125
2018/09,126
2018/10,123
2018/11,141
2018/12,149
2019/01,150
2019/02,150
2019/03,150
2019/04,146
2019/05,146
2019/06,150
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
