"""햄최몇""","""햄최몇"""
연/월,"""햄최몇""_빈도수"
2014/11,0
2014/12,1
2015/01,3
2015/02,5
2015/03,14
2015/04,9
2015/05,7
2015/06,11
2015/07,3
2015/08,8
2015/09,10
2015/10,22
2015/11,17
2015/12,24
2016/01,37
2016/02,60
2016/03,34
2016/04,28
2016/05,36
2016/06,26
2016/07,57
2016/08,74
2016/09,48
2016/10,33
2016/11,59
2016/12,26
2017/01,49
2017/02,47
2017/03,38
2017/04,28
2017/05,62
2017/06,53
2017/07,49
2017/08,58
2017/09,53
2017/10,44
2017/11,44
2017/12,51
2018/01,80
2018/02,70
2018/03,61
2018/04,62
2018/05,58
2018/06,64
2018/07,64
2018/08,57
2018/09,63
2018/10,72
2018/11,74
2018/12,89
2019/01,94
2019/02,75
2019/03,79
2019/04,61
2019/05,74
2019/06,50
2019/07,76
2019/08,62
2019/09,76
2019/10,58
2019/11,74
2019/12,63
2020/01,92
2020/02,68
2020/03,101
2020/04,108
2020/05,93
2020/06,95
2020/07,113
2020/08,95
2020/09,117
2020/10,76
2020/11,91
2020/12,111
2021/01,128
2021/02,123
2021/03,114
2021/04,95
2021/05,133
2021/06,92
2021/07,107
2021/08,114
2021/09,104
2021/10,115
2021/11,102
2021/12,117
2022/01,120
2022/02,115
2022/03,129
2022/04,117
2022/05,125
2022/06,128
2022/07,125
2022/08,113
2022/09,124
2022/10,136
2022/11,121
2022/12,120
2023/01,123
2023/02,120
2023/03,123
2023/04,127
2023/05,136
2023/06,141
2023/07,124
2023/08,129
2023/09,128
2023/10,127
2023/11,115
