"""헬창""","""헬창"""
연/월,"""헬창""_빈도수"
2014/07,0
2014/08,2
2014/09,13
2014/10,14
2014/11,16
2014/12,39
2015/01,65
2015/02,107
2015/03,146
2015/04,134
2015/05,109
2015/06,96
2015/07,117
2015/08,150
2015/09,150
2015/10,150
2015/11,150
2015/12,150
2016/01,150
2016/02,150
2016/03,150
2016/04,150
2016/05,150
2016/06,138
2016/07,146
2016/08,150
2016/09,150
2016/10,150
2016/11,150
2016/12,150
2017/01,150
2017/02,150
2017/03,150
2017/04,150
2017/05,141
2017/06,109
2017/07,120
2017/08,115
2017/09,79
2017/10,62
2017/11,45
2017/12,54
2018/01,50
2018/02,42
2018/03,55
2018/04,55
2018/05,58
2018/06,31
2018/07,59
2018/08,44
2018/09,43
2018/10,35
2018/11,33
2018/12,50
2019/01,35
2019/02,71
2019/03,52
2019/04,61
2019/05,92
2019/06,106
2019/07,150
2019/08,150
2019/09,150
2019/10,150
2019/11,150
2019/12,150
2020/01,150
2020/02,150
2020/03,150
2020/04,150
2020/05,150
2020/06,150
2020/07,150
2020/08,150
2020/09,150
2020/10,150
2020/11,150
2020/12,150
2021/01,150
2021/02,150
2021/03,150
2021/04,150
2021/05,150
2021/06,150
2021/07,150
2021/08,150
2021/09,150
2021/10,150
2021/11,150
2021/12,150
2022/01,150
2022/02,150
2022/03,150
2022/04,150
2022/05,150
2022/06,150
2022/07,150
2022/08,150
2022/09,150
2022/10,150
2022/11,150
2022/12,150
2023/01,150
2023/02,150
2023/03,150
2023/04,150
2023/05,150
2023/06,150
2023/07,150
2023/08,150
2023/09,150
2023/10,150
2023/11,150
